  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   2    0 -5.616e-02 -5.900e-02 3.6578e-03  3.717e-01  3.489e-01 3.6055e-03 -8.808e-03  2.366e-02 3.6200e-03 -1.501e-04 -3.727e-02 3.5558e-03  1.855e-02  2.554e-02 3.5519e-03 6.3929e-03 1.4371e-03 2.5027e-01 2.7844e-02 3.8813e-01 4.8290e+00 2.9133e+00 7.6418e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.535638e+03 1.160290e+03 1.392277e-01 5.141662e+01 1.546492e+03 1.156635e+03 1.442246e-01 5.144803e+01 9.056062e-02 2.839642e-03 -6.869936e-05 9.465236e-04
15.000 45.000 1.060626e+03 1.934657e+03 -2.918023e-01 5.234729e+01 1.066779e+03 1.932783e+03 -2.887103e-01 5.243603e+01 2.922042e-01 4.492718e-03 -4.173122e-05 -1.115638e-02
15.000 75.000 1.447970e+03 1.945056e+03 -1.465022e-01 5.762120e+01 1.438998e+03 1.951888e+03 -1.512555e-01 5.756135e+01 4.155519e-01 6.670275e-03 5.836053e-05 -9.754294e-03
15.000 105.000 1.524809e+03 1.939847e+03 -1.197921e-01 5.843747e+01 1.513186e+03 1.957705e+03 -1.280703e-01 5.842911e+01 4.275528e-01 7.528590e-03 1.001749e-04 -9.366334e-03
15.000 135.000 9.968003e+02 2.164289e+03 -3.693310e-01 5.224844e+01 9.845688e+02 2.183546e+03 -3.784514e-01 5.209952e+01 3.249913e-01 6.675232e-03 1.236065e-04 -1.328886e-02
15.000 165.000 1.319742e+03 1.763874e+03 -1.440298e-01 5.495132e+01 1.304788e+03 1.781429e+03 -1.544417e-01 5.488719e+01 1.353486e-01 4.500075e-03 1.340573e-04 -5.084107e-03
15.000 195.000 1.777223e+03 1.767108e+03 2.853960e-03 5.953404e+01 1.764873e+03 1.779138e+03 -4.025075e-03 5.953111e+01 -9.056060e-02 2.839642e-03 8.170673e-05 1.569095e-03
15.000 225.000 2.241520e+03 7.488579e+02 4.991550e-01 4.738468e+01 2.236360e+03 7.558996e+02 4.947633e-01 4.753716e+01 -2.922042e-01 4.492718e-03 6.542957e-05 1.670074e-02
15.000 255.000 2.070441e+03 1.282687e+03 2.349310e-01 5.628553e+01 2.075062e+03 1.282940e+03 2.358908e-01 5.631295e+01 -4.155519e-01 6.670275e-03 -1.205554e-05 1.155684e-02
15.000 285.000 2.039204e+03 1.093280e+03 3.019727e-01 5.335579e+01 2.048462e+03 1.083847e+03 3.079566e-01 5.324705e+01 -4.275528e-01 7.528590e-03 -7.938321e-05 1.367285e-02
15.000 315.000 2.169658e+03 1.152496e+03 3.061754e-01 5.487006e+01 2.193186e+03 1.146666e+03 3.133433e-01 5.488107e+01 -3.249913e-01 6.675232e-03 -9.236260e-05 1.150293e-02
15.000 345.000 2.015631e+03 1.672511e+03 9.303317e-02 6.046669e+01 2.032059e+03 1.653605e+03 1.026828e-01 6.038877e+01 -1.353486e-01 4.500075e-03 -1.129172e-04 3.776985e-03
45.000 15.000 1.983280e+03 2.331926e+03 -8.079479e-02 6.547547e+01 2.003120e+03 2.309825e+03 -7.111265e-02 6.550675e+01 7.349729e-02 5.948700e-03 -1.045379e-04 -2.356487e-03
45.000 45.000 1.885593e+03 2.519432e+03 -1.438901e-01 6.567969e+01 1.919028e+03 2.492864e+03 -1.300656e-01 6.585784e+01 2.517097e-01 6.189646e-03 -1.486327e-04 -6.023168e-03
45.000 75.000 1.728716e+03 2.322486e+03 -1.465665e-01 6.296170e+01 1.762846e+03 2.293545e+03 -1.308303e-01 6.314237e+01 3.624767e-01 5.941069e-03 -1.764761e-04 -8.084966e-03
45.000 105.000 1.579401e+03 2.140540e+03 -1.508463e-01 6.029341e+01 1.604739e+03 2.111082e+03 -1.362667e-01 6.038893e+01 3.761184e-01 5.418136e-03 -1.708501e-04 -8.740004e-03
45.000 135.000 1.720258e+03 2.008259e+03 -7.724268e-02 6.087916e+01 1.732770e+03 1.997746e+03 -7.102915e-02 6.092368e+01 2.889794e-01 5.141159e-03 -7.214339e-05 -6.015558e-03
45.000 165.000 2.562310e+03 1.953329e+03 1.348603e-01 6.658462e+01 2.556864e+03 1.955742e+03 1.332094e-01 6.657725e+01 1.244087e-01 5.426503e-03 1.753309e-05 1.569682e-04
45.000 195.000 2.172270e+03 1.604099e+03 1.504543e-01 6.075265e+01 2.155014e+03 1.624414e+03 1.403917e-01 6.086818e+01 -7.349727e-02 5.948700e-03 1.170091e-04 3.686285e-03
45.000 225.000 2.247956e+03 1.715279e+03 1.344046e-01 6.238302e+01 2.215338e+03 1.742602e+03 1.194400e-01 6.246179e+01 -2.517097e-01 6.189646e-03 1.695157e-04 6.189412e-03
45.000 255.000 2.005496e+03 1.485078e+03 1.490924e-01 5.842075e+01 1.981114e+03 1.512026e+03 1.342882e-01 5.856746e+01 -3.624767e-01 5.941069e-03 1.789596e-04 8.756632e-03
