  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -5.991e-02 -5.392e-02 2.9909e-03  3.954e-01  3.604e-01 2.9363e-03 -1.022e-02  2.532e-02 2.9542e-03 -4.642e-04 -2.265e-02 2.8841e-03  2.365e-02  3.022e-02 2.8803e-03 -5.3008e-03 1.5603e-03 3.4698e-01 4.0754e-02 4.3557e-01 5.3053e+00 2.7851e+00 7.3619e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 8.919202e+02 1.257744e+03 -1.701770e-01 4.568817e+01 8.962467e+02 1.251613e+03 -1.654515e-01 4.570628e+01 1.036167e-01 2.305583e-03 -7.312112e-05 -5.992661e-03
15.000 45.000 1.062489e+03 1.158230e+03 -4.311257e-02 4.708070e+01 1.071139e+03 1.150132e+03 -3.556209e-02 4.710054e+01 3.014193e-01 3.654314e-03 -1.133769e-04 -7.317900e-03
15.000 75.000 9.100055e+02 1.508953e+03 -2.476054e-01 4.765140e+01 9.185817e+02 1.496164e+03 -2.391898e-01 4.771367e+01 4.184568e-01 5.430718e-03 -1.248001e-04 -1.397781e-02
15.000 105.000 1.288583e+03 1.108760e+03 7.500942e-02 4.882473e+01 1.297125e+03 1.102778e+03 8.098145e-02 4.882791e+01 4.233692e-01 6.131320e-03 -8.648744e-05 -7.134904e-03
15.000 135.000 1.030698e+03 1.645920e+03 -2.298506e-01 5.035085e+01 1.034688e+03 1.641866e+03 -2.268509e-01 5.038665e+01 3.148401e-01 5.436431e-03 -4.211163e-05 -1.081791e-02
15.000 165.000 1.109347e+03 1.297630e+03 -7.822387e-02 4.891061e+01 1.108538e+03 1.298445e+03 -7.889817e-02 4.890808e+01 1.219499e-01 3.662800e-03 9.748770e-06 -4.092646e-03
15.000 195.000 1.307490e+03 1.469995e+03 -5.850777e-02 5.261157e+01 1.301660e+03 1.477919e+03 -6.341214e-02 5.261560e+01 -1.036167e-01 2.305583e-03 6.591295e-05 8.573949e-04
15.000 225.000 1.315228e+03 8.092531e+02 2.381641e-01 4.476579e+01 1.308851e+03 8.173816e+02 2.311458e-01 4.486236e+01 -3.014193e-01 3.654314e-03 1.107406e-04 1.205348e-02
15.000 255.000 1.537555e+03 1.120569e+03 1.568721e-01 5.091867e+01 1.528636e+03 1.131570e+03 1.492612e-01 5.099941e+01 -4.184568e-01 5.430718e-03 1.056081e-04 1.129898e-02
15.000 285.000 1.157061e+03 9.251413e+02 1.113820e-01 4.534722e+01 1.151277e+03 9.332201e+02 1.046087e-01 4.540579e+01 -4.233692e-01 6.131320e-03 1.055484e-04 1.179237e-02
15.000 315.000 1.439204e+03 7.519438e+02 3.136530e-01 4.444757e+01 1.437952e+03 7.546008e+02 3.116693e-01 4.449240e+01 -3.148402e-01 5.436432e-03 3.154317e-05 1.414010e-02
15.000 345.000 1.127493e+03 1.057304e+03 3.212592e-02 4.671769e+01 1.128777e+03 1.055604e+03 3.349814e-02 4.671114e+01 -1.219500e-01 3.662800e-03 -2.077102e-05 3.298020e-03
45.000 15.000 1.811058e+03 2.106649e+03 -7.545003e-02 6.241318e+01 1.814958e+03 2.099689e+03 -7.273456e-02 6.240142e+01 9.733144e-02 4.839135e-03 -3.076762e-05 -2.768349e-03
45.000 45.000 1.131613e+03 2.152252e+03 -3.108039e-01 5.446693e+01 1.148089e+03 2.129416e+03 -2.994126e-01 5.462310e+01 2.803152e-01 5.028791e-03 -1.476735e-04 -1.085281e-02
45.000 75.000 1.486390e+03 1.918668e+03 -1.269518e-01 5.788074e+01 1.515930e+03 1.889282e+03 -1.096413e-01 5.800239e+01 3.881888e-01 4.829691e-03 -2.112531e-04 -8.900035e-03
45.000 105.000 1.473365e+03 1.757283e+03 -8.788268e-02 5.661888e+01 1.506648e+03 1.728556e+03 -6.859170e-02 5.674490e+01 3.920475e-01 4.414926e-03 -2.406549e-04 -8.476504e-03
45.000 135.000 1.256551e+03 1.965761e+03 -2.200933e-01 5.537346e+01 1.278142e+03 1.942169e+03 -2.061997e-01 5.552827e+01 2.908574e-01 4.197626e-03 -1.771712e-04 -9.227357e-03
45.000 165.000 1.468212e+03 2.044454e+03 -1.640469e-01 5.846483e+01 1.480196e+03 2.026987e+03 -1.559061e-01 5.849730e+01 1.117323e-01 4.425256e-03 -9.843239e-05 -4.717010e-03
