  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -6.857e-02 -5.586e-02 2.3790e-03  4.030e-01  3.764e-01 2.3171e-03 -1.444e-02  1.930e-02 2.3349e-03 -3.006e-03 -1.178e-02 2.3025e-03  4.647e-02  3.622e-02 2.3001e-03 1.4406e-02 1.1239e-02 1.0683e+00 1.6542e-01 5.9480e-01 7.3091e+00 2.4209e+00 4.8516e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 2.762919e+01 1.968283e+01 1.679566e-01 6.780662e+00 2.769759e+01 1.963423e+01 1.703583e-01 6.779245e+00 1.146347e-01 1.836530e-03 -2.504838e-04 7.863820e-03
15.000 45.000 4.027988e+01 3.521517e+01 6.708666e-02 8.669214e+00 4.090351e+01 3.488162e+01 7.946002e-02 8.677939e+00 3.204572e-01 2.903865e-03 -1.008729e-03 -2.922647e-02
15.000 75.000 2.087320e+01 4.354045e+01 -3.519014e-01 7.512457e+00 2.128326e+01 4.300501e+01 -3.378806e-01 7.546450e+00 4.404135e-01 4.312279e-03 -1.316722e-03 -1.054668e-01
15.000 105.000 2.258122e+01 3.437145e+01 -2.070181e-01 7.383216e+00 2.299564e+01 3.389674e+01 -1.916091e-01 7.402948e+00 4.423613e-01 4.868211e-03 -1.473788e-03 -8.795346e-02
15.000 135.000 3.061967e+01 3.613358e+01 -8.260150e-02 8.142346e+00 3.107960e+01 3.570289e+01 -6.922907e-02 8.152449e+00 3.257788e-01 4.317394e-03 -1.160583e-03 -5.015511e-02
15.000 165.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 1.219041e-01 2.911455e-03 -1.000000e+01 -3.476579e+03
15.000 195.000 8.269171e+00 3.076904e+01 -5.763550e-01 5.105908e+00 8.259306e+00 3.091547e+01 -5.783355e-01 5.106066e+00 -1.146347e-01 1.836530e-03 2.742692e-04 -9.042864e-02
15.000 225.000 3.104991e+01 3.710780e+01 -8.888044e-02 8.223095e+00 3.072103e+01 3.755836e+01 -1.001375e-01 8.221600e+00 -3.204572e-01 2.903864e-03 9.680843e-04 2.816175e-02
15.000 255.000 9.269731e+00 1.498357e+01 -2.355902e-01 4.786144e+00 9.180165e+00 1.533360e+01 -2.510195e-01 4.792612e+00 -4.404135e-01 4.312279e-03 2.277989e-03 4.279503e-02
15.000 285.000 2.142798e+01 7.087455e+00 5.029040e-01 4.615574e+00 2.108184e+01 7.245029e+00 4.884694e-01 4.644137e+00 -4.423613e-01 4.868211e-03 2.204546e-03 2.047989e-01
15.000 315.000 1.276023e+01 3.411396e+01 -4.555540e-01 6.094786e+00 1.261211e+01 3.475412e+01 -4.674640e-01 6.084048e+00 -3.257788e-01 4.317394e-03 1.382996e-03 -2.129281e-02
15.000 345.000 3.139628e+01 1.680022e+01 3.028450e-01 6.616355e+00 3.133271e+01 1.683773e+01 3.009103e-01 6.618818e+00 -1.219042e-01 2.911455e-03 2.067293e-04 6.419684e-02
45.000 15.000 5.255259e+01 2.821247e+01 3.013695e-01 8.569112e+00 5.266836e+01 2.826309e+01 3.015549e-01 8.577408e+00 1.092975e-01 3.847739e-03 -1.529124e-05 2.241445e-02
