  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.587e-02 -6.956e-02 3.6986e-03  3.955e-01  3.697e-01 3.6278e-03 -2.049e-03 -1.571e-02 3.6476e-03  6.796e-04 -1.902e-02 3.5953e-03  1.069e-02  9.122e-03 3.5807e-03 -7.8424e-03 1.1556e-03 3.1428e-01 1.1350e-02 4.3090e-01 5.2902e+00 2.8102e+00 7.7470e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 5.145077e+03 5.219852e+03 -7.214268e-03 1.018056e+02 5.213464e+03 5.165644e+03 4.607377e-03 1.018768e+02 8.667035e-02 2.865271e-03 -8.208035e-05 -9.221946e-04
15.000 45.000 4.843043e+03 6.652166e+03 -1.573806e-01 1.058796e+02 4.848477e+03 6.654795e+03 -1.570265e-01 1.059228e+02 3.081633e-01 4.528543e-03 -2.364446e-06 -4.396918e-03
15.000 75.000 4.833090e+03 7.282542e+03 -2.021729e-01 1.077980e+02 4.742485e+03 7.372519e+03 -2.170890e-01 1.074433e+02 4.470841e-01 6.726403e-03 9.800424e-05 -6.022902e-03
15.000 105.000 5.028649e+03 6.905563e+03 -1.572717e-01 1.078843e+02 4.892725e+03 7.017880e+03 -1.784255e-01 1.073845e+02 4.662092e-01 7.594957e-03 1.389695e-04 -5.779162e-03
15.000 135.000 4.715170e+03 5.675146e+03 -9.239142e-02 1.014969e+02 4.587091e+03 5.778181e+03 -1.149116e-01 1.011356e+02 3.604138e-01 6.736873e-03 1.571730e-04 -4.461271e-03
15.000 165.000 5.235204e+03 6.560642e+03 -1.123648e-01 1.079209e+02 5.133177e+03 6.681100e+03 -1.310214e-01 1.077565e+02 1.580459e-01 4.544079e-03 1.223326e-04 -2.505639e-03
15.000 195.000 4.955894e+03 5.229969e+03 -2.690747e-02 1.008885e+02 4.903103e+03 5.280456e+03 -3.705504e-02 1.008443e+02 -8.667033e-02 2.865271e-03 7.113780e-05 5.923654e-04
15.000 225.000 5.482601e+03 5.241338e+03 2.249760e-02 1.035302e+02 5.463548e+03 5.235264e+03 2.133739e-02 1.034115e+02 -3.081633e-01 4.528543e-03 7.928723e-06 3.193858e-03
15.000 255.000 6.680377e+03 4.152685e+03 2.333313e-01 1.012091e+02 6.732541e+03 4.108953e+03 2.419950e-01 1.010277e+02 -4.470841e-01 6.726403e-03 -6.058403e-05 6.722872e-03
15.000 285.000 6.896089e+03 4.558467e+03 2.040780e-01 1.047736e+02 7.012069e+03 4.444719e+03 2.240899e-01 1.043143e+02 -4.662092e-01 7.594957e-03 -1.353545e-04 6.397484e-03
15.000 315.000 5.585719e+03 4.604508e+03 9.628943e-02 1.004776e+02 5.698852e+03 4.480862e+03 1.196487e-01 1.001698e+02 -3.604138e-01 6.736873e-03 -1.646422e-04 4.545324e-03
15.000 345.000 5.829880e+03 5.380243e+03 4.010991e-02 1.057927e+02 5.942614e+03 5.274185e+03 5.959178e-02 1.057212e+02 -1.580459e-01 4.544080e-03 -1.302587e-04 1.873058e-03
45.000 15.000 5.332496e+03 6.117083e+03 -6.852532e-02 1.067512e+02 5.483568e+03 5.954752e+03 -4.119347e-02 1.068593e+02 3.715879e-02 6.002161e-03 -1.809511e-04 -9.900040e-04
45.000 45.000 5.267365e+03 7.010762e+03 -1.419921e-01 1.096840e+02 5.415500e+03 6.878108e+03 -1.189730e-01 1.100890e+02 2.404107e-01 6.243441e-03 -1.481249e-04 -3.486405e-03
45.000 75.000 5.820282e+03 7.002266e+03 -9.218013e-02 1.127546e+02 5.912239e+03 6.915074e+03 -7.817972e-02 1.129111e+02 3.792448e-01 5.991760e-03 -8.773854e-05 -4.180983e-03
45.000 105.000 4.691716e+03 8.081472e+03 -2.653805e-01 1.089661e+02 4.701853e+03 8.085652e+03 -2.646176e-01 1.090509e+02 4.164606e-01 5.465090e-03 -4.948633e-06 -6.257368e-03
45.000 135.000 4.851768e+03 6.377613e+03 -1.358797e-01 1.049859e+02 4.773553e+03 6.457148e+03 -1.499100e-01 1.047774e+02 3.420860e-01 5.187736e-03 9.459168e-05 -4.552664e-03
45.000 165.000 5.856171e+03 7.408577e+03 -1.170325e-01 1.143812e+02 5.705174e+03 7.579576e+03 -1.410943e-01 1.141065e+02 1.760498e-01 5.476492e-03 1.489290e-04 -2.562329e-03
45.000 195.000 6.292871e+03 5.803423e+03 4.046263e-02 1.098931e+02 6.125472e+03 5.976547e+03 1.230586e-02 1.100008e+02 -3.715876e-02 6.002161e-03 1.810859e-04 7.063355e-04
