  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   4    0 -9.668e-02 -6.783e-02 2.5756e-03  3.765e-01  3.727e-01 2.5190e-03 -1.972e-02 -1.423e-02 2.5340e-03 -2.212e-03 -9.372e-03 2.5312e-03  3.987e-02  2.229e-02 2.5232e-03 -1.3065e-03 2.8468e-03 4.6589e-01 8.6254e-02 4.3976e-01 5.5082e+00 2.7858e+00 6.6411e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 8.242756e+00 -1.000000e+00 2.000000e+00 0.000000e+00 8.111651e+00 -1.000000e+00 2.000000e+00 9.923786e-02 2.012106e-03 0.000000e+00 -5.496187e-01
15.000 45.000 1.129126e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.160229e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.204404e-01 3.167988e-03 0.000000e+00 3.397794e-01
15.000 75.000 2.050162e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.113437e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.557812e-01 4.698345e-03 0.000000e+00 2.721087e-01
15.000 105.000 3.330845e+00 4.721251e+01 -8.681985e-01 3.527798e+00 3.401104e+00 4.625993e+01 -8.630273e-01 3.559873e+00 4.689958e-01 5.303317e-03 -1.031814e-03 -3.790446e-01
15.000 135.000 0.000000e+00 1.005068e+01 -1.000000e+00 2.000000e+00 0.000000e+00 9.923884e+00 -1.000000e+00 2.000000e+00 3.565433e-01 4.705061e-03 0.000000e+00 -6.782698e-01
15.000 165.000 1.152131e+01 4.294252e+01 -5.769188e-01 6.027963e+00 1.152747e+01 4.287228e+01 -5.761940e-01 6.028189e+00 1.485554e-01 3.177939e-03 -8.501933e-05 -1.203515e-01
15.000 195.000 0.000000e+00 9.667252e+00 -1.000000e+00 2.000000e+00 0.000000e+00 9.857964e+00 -1.000000e+00 2.000000e+00 -9.923784e-02 2.012106e-03 0.000000e+00 -4.503809e-01
15.000 225.000 1.263903e+01 3.317409e+01 -4.482352e-01 6.050503e+00 1.241211e+01 3.402720e+01 -4.654481e-01 6.031468e+00 -3.204404e-01 3.167988e-03 2.014786e-03 -2.112136e-02
15.000 255.000 2.113142e+01 5.502211e+00 5.868223e-01 4.178763e+00 2.068801e+01 5.695891e+00 5.682298e-01 4.226693e+00 -4.557812e-01 4.698345e-03 3.128120e-03 2.495003e-01
15.000 285.000 2.058470e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.017157e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.689958e-01 5.303317e-03 0.000000e+00 7.344953e-01
15.000 315.000 8.349316e+00 0.000000e+00 1.000000e+00 2.000000e+00 8.266533e+00 0.000000e+00 1.000000e+00 2.000000e+00 -3.565434e-01 4.705061e-03 0.000000e+00 6.782698e-01
15.000 345.000 0.000000e+00 7.840059e+00 -1.000000e+00 2.000000e+00 0.000000e+00 7.821729e+00 -1.000000e+00 2.000000e+00 -1.485554e-01 3.177939e-03 0.000000e+00 -4.257218e-01
45.000 15.000 2.630364e+01 5.064173e+01 -3.163035e-01 8.321488e+00 2.685618e+01 4.979321e+01 -2.992461e-01 8.353776e+00 5.998905e-02 4.201743e-03 -1.446617e-03 -4.521938e-02
