  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -1.015e-01 -7.035e-02 2.4768e-03  3.607e-01  3.679e-01 2.4222e-03 -3.003e-02 -1.560e-02 2.4373e-03 -4.495e-03 -5.309e-03 2.4141e-03  5.553e-02  2.741e-02 2.4076e-03 5.0778e-03 8.2281e-03 7.6760e-01 2.2136e-01 4.6138e-01 6.0305e+00 2.7638e+00 4.5398e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.022324e-01 1.922773e-03         -nan         -nan
15.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.230949e-01 3.035210e-03         -nan         -nan
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.573844e-01 4.505404e-03         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.691180e-01 5.086195e-03         -nan         -nan
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.551519e-01 4.511534e-03         -nan         -nan
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.460231e-01 3.044303e-03         -nan         -nan
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.022324e-01 1.922773e-03         -nan         -nan
15.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.230949e-01 3.035209e-03         -nan         -nan
15.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.573844e-01 4.505403e-03         -nan         -nan
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.691180e-01 5.086195e-03         -nan         -nan
15.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.551519e-01 4.511534e-03         -nan         -nan
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.460232e-01 3.044303e-03         -nan         -nan
45.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 6.411611e-02 4.023365e-03         -nan         -nan
45.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 2.712147e-01 4.186664e-03         -nan         -nan
45.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.056416e-01 4.015460e-03         -nan         -nan
45.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.313771e-01 3.657728e-03         -nan         -nan
45.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.415255e-01 3.469623e-03         -nan         -nan
45.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.601624e-01 3.666405e-03         -nan         -nan
45.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -6.411609e-02 4.023365e-03         -nan         -nan
45.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -2.712147e-01 4.186664e-03         -nan         -nan
45.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.056416e-01 4.015460e-03         -nan         -nan
45.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.313771e-01 3.657728e-03         -nan         -nan
45.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.415255e-01 3.469623e-03         -nan         -nan
45.000 345.000 5.987794e+00 0.000000e+00 1.000000e+00 2.000000e+00 5.993957e+00 0.000000e+00 1.000000e+00 2.000000e+00 -1.601624e-01 3.666405e-03 0.000000e+00 5.800802e-01
75.000 15.000 4.247898e+01 3.323597e+01 1.220765e-01 8.636353e+00 4.279379e+01 3.320803e+01 1.261254e-01 8.648284e+00 5.332827e-02 3.900980e-03 -3.312794e-04 7.960328e-03
75.000 45.000 8.894526e+00 2.718003e+01 -5.068809e-01 5.177449e+00 8.897931e+00 2.735073e+01 -5.090616e-01 5.182186e+00 2.336389e-01 3.789071e-03 2.976882e-04 -1.430279e-01
75.000 75.000 7.266683e+00 2.503130e+01 -5.500225e-01 4.746266e+00 7.337142e+00 2.497606e+01 -5.458734e-01 4.762834e+00 3.513462e-01 3.731305e-03 -6.170636e-04 -1.899111e-01
75.000 105.000 1.534567e+01 3.522898e+01 -3.931477e-01 6.538928e+00 1.525301e+01 3.528790e+01 -3.964093e-01 6.526783e+00 3.749105e-01 3.787980e-03 3.530219e-04 -1.174593e-01
75.000 135.000 1.031697e+01 1.850473e+01 -2.840833e-01 5.147397e+00 1.038117e+01 1.848042e+01 -2.806238e-01 5.156428e+00 2.980179e-01 3.899920e-03 -4.748192e-04 -1.130865e-01
75.000 165.000 0.000000e+00 6.893925e+00 -1.000000e+00 2.000000e+00 0.000000e+00 6.928902e+00 -1.000000e+00 2.000000e+00 1.412716e-01 3.955225e-03 0.000000e+00 -5.706347e-01
75.000 195.000 5.791239e+00 1.824228e+01 -5.180699e-01 4.193210e+00 5.722778e+00 1.835467e+01 -5.246358e-01 4.177356e+00 -5.332825e-02 3.900980e-03 1.109312e-03 -1.108319e-01
75.000 225.000 3.235500e+01 1.439367e+01 3.842104e-01 6.312507e+00 3.225702e+01 1.462768e+01 3.760147e-01 6.344747e+00 -2.336389e-01 3.789071e-03 9.157121e-04 9.787698e-02
75.000 255.000 2.367206e+01 5.395571e+01 -3.901136e-01 8.112565e+00 2.364308e+01 5.376549e+01 -3.891353e-01 8.104744e+00 -3.513462e-01 3.731305e-03 -8.531377e-05 -4.778692e-03
75.000 285.000 1.470246e+01 2.230046e+01 -2.053351e-01 5.953385e+00 1.474561e+01 2.222983e+01 -2.024107e-01 5.954877e+00 -3.749105e-01 3.787980e-03 -3.472979e-04 2.848386e-02
75.000 315.000 4.630452e+01 8.202035e+00 6.990441e-01 5.279322e+00 4.623595e+01 8.206080e+00 6.985388e-01 5.279838e+00 -2.980179e-01 3.899920e-03 6.767266e-05 1.888617e-01
75.000 345.000 4.789591e+01 4.341039e+01 4.912602e-02 9.543896e+00 4.806285e+01 4.350329e+01 4.979528e-02 9.557149e+00 -1.412717e-01 3.955225e-03 -4.955091e-05 1.994968e-02
105.000 15.000 1.934093e+02 2.319662e+02 -9.064189e-02 2.053973e+01 1.939965e+02 2.315271e+02 -8.819867e-02 2.054784e+01 5.724259e-02 3.955225e-03 -8.409451e-05 -7.199922e-03
