  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.603e-02 -1.707e-02 3.5860e-03  3.939e-01  3.745e-01 3.5310e-03 -2.071e-03 -2.198e-02 3.5589e-03  6.793e-04  1.876e-02 3.5359e-03  1.064e-02  1.118e-02 3.5447e-03 -7.9363e-03 1.1614e-03 3.0757e-01 1.1302e-02 4.2740e-01 5.2570e+00 2.8246e+00 7.7645e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 5.763946e+03 6.148939e+03 -3.231739e-02 1.090892e+02 5.765821e+03 6.138616e+03 -3.131560e-02 1.090539e+02 1.062089e-01 2.819665e-03 -6.494565e-06 -1.269845e-03
15.000 45.000 3.695535e+03 5.994570e+03 -2.372560e-01 9.562764e+01 3.743232e+03 5.944642e+03 -2.272336e-01 9.585218e+01 2.887175e-01 4.440827e-03 -7.402231e-05 -5.500224e-03
15.000 75.000 4.075133e+03 6.855516e+03 -2.543657e-01 1.011109e+02 4.122846e+03 6.816269e+03 -2.462194e-01 1.013703e+02 3.938645e-01 6.580330e-03 -5.689720e-05 -6.411081e-03
15.000 105.000 4.485701e+03 6.057875e+03 -1.491120e-01 1.015340e+02 4.550721e+03 5.988842e+03 -1.364498e-01 1.017022e+02 3.934758e-01 7.423618e-03 -8.810944e-05 -5.343904e-03
15.000 135.000 5.153878e+03 4.847112e+03 3.067350e-02 9.995789e+01 5.200730e+03 4.812594e+03 3.876194e-02 9.999140e+01 2.876556e-01 6.583287e-03 -5.720835e-05 -2.570904e-03
15.000 165.000 4.614248e+03 4.810848e+03 -2.085929e-02 9.706181e+01 4.635929e+03 4.789709e+03 -1.631511e-02 9.707280e+01 1.047583e-01 4.445208e-03 -3.310300e-05 -1.294202e-03
15.000 195.000 4.404091e+03 4.831379e+03 -4.626594e-02 9.599845e+01 4.394127e+03 4.838793e+03 -4.816085e-02 9.597658e+01 -1.062089e-01 2.819665e-03 1.395915e-05 6.244156e-04
15.000 225.000 5.648557e+03 3.688804e+03 2.098829e-01 9.447774e+01 5.613258e+03 3.729764e+03 2.015938e-01 9.467482e+01 -2.887175e-01 4.440827e-03 6.197461e-05 5.277438e-03
15.000 255.000 6.510070e+03 4.144996e+03 2.219671e-01 1.006484e+02 6.463940e+03 4.217354e+03 2.103290e-01 1.010385e+02 -3.938645e-01 6.580330e-03 8.160537e-05 6.118644e-03
15.000 285.000 5.553474e+03 4.307940e+03 1.263037e-01 9.850938e+01 5.488053e+03 4.382296e+03 1.120281e-01 9.872423e+01 -3.934758e-01 7.423618e-03 1.023594e-04 5.276447e-03
15.000 315.000 6.312300e+03 4.423543e+03 1.759300e-01 1.019978e+02 6.269617e+03 4.464446e+03 1.681721e-01 1.021297e+02 -2.876556e-01 6.583287e-03 5.374723e-05 4.545055e-03
15.000 345.000 5.572333e+03 5.955484e+03 -3.323705e-02 1.073083e+02 5.554626e+03 5.979767e+03 -3.685853e-02 1.073253e+02 -1.047583e-01 4.445208e-03 2.386182e-05 6.665026e-04
45.000 15.000 4.212004e+03 5.453683e+03 -1.284626e-01 9.749963e+01 4.230386e+03 5.437042e+03 -1.248167e-01 9.755417e+01 9.309048e-02 5.887952e-03 -2.643386e-05 -2.272348e-03
45.000 45.000 5.244779e+03 6.438633e+03 -1.021837e-01 1.075240e+02 5.299698e+03 6.387127e+03 -9.304749e-02 1.076366e+02 2.792093e-01 6.134684e-03 -6.005070e-05 -3.547048e-03
45.000 75.000 4.813324e+03 6.748302e+03 -1.673621e-01 1.060084e+02 4.868610e+03 6.700205e+03 -1.583218e-01 1.062019e+02 3.905142e-01 5.873387e-03 -6.024595e-05 -5.262565e-03
45.000 105.000 4.935211e+03 6.625326e+03 -1.461970e-01 1.063647e+02 4.982301e+03 6.578825e+03 -1.380942e-01 1.064925e+02 3.971811e-01 5.328474e-03 -5.383496e-05 -5.108633e-03
45.000 135.000 5.348467e+03 6.736217e+03 -1.148355e-01 1.092031e+02 5.376035e+03 6.696564e+03 -1.093823e-01 1.092161e+02 2.974237e-01 5.042446e-03 -3.530795e-05 -3.775160e-03
45.000 165.000 5.552701e+03 5.642295e+03 -8.003076e-03 1.058030e+02 5.561120e+03 5.636201e+03 -6.705289e-03 1.058150e+02 1.179719e-01 5.344524e-03 -8.672929e-06 -1.190655e-03
45.000 195.000 4.645326e+03 5.430443e+03 -7.792128e-02 1.000729e+02 4.624389e+03 5.453383e+03 -8.225970e-02 1.000479e+02 -9.309046e-02 5.887952e-03 3.065880e-05 1.515813e-04
45.000 225.000 5.868071e+03 4.921071e+03 8.777341e-02 1.034699e+02 5.826872e+03 4.963780e+03 7.998521e-02 1.035452e+02 -2.792093e-01 6.134684e-03 5.320470e-05 3.546758e-03
45.000 255.000 7.391727e+03 4.611958e+03 2.315763e-01 1.065831e+02 7.346255e+03 4.656369e+03 2.241082e-01 1.067698e+02 -3.905142e-01 5.873387e-03 4.950246e-05 5.836671e-03
45.000 285.000 6.296011e+03 5.000662e+03 1.146664e-01 1.055848e+02 6.263568e+03 5.058668e+03 1.064189e-01 1.058018e+02 -3.971811e-01 5.328474e-03 5.517714e-05 4.847741e-03
45.000 315.000 6.397449e+03 4.737896e+03 1.490347e-01 1.043456e+02 6.370793e+03 4.761559e+03 1.445547e-01 1.044018e+02 -2.974237e-01 5.042446e-03 3.035092e-05 4.278650e-03
45.000 345.000 5.460090e+03 5.964931e+03 -4.418734e-02 1.067835e+02 5.457753e+03 5.966427e+03 -4.452617e-02 1.067780e+02 -1.179719e-01 5.344524e-03 2.243750e-06 6.909733e-04
75.000 15.000 6.263945e+03 6.058794e+03 1.664815e-02 1.109924e+02 6.317434e+03 6.003887e+03 2.544747e-02 1.109655e+02 6.840247e-02 5.701155e-03 -5.606523e-05 -4.662869e-04
75.000 45.000 5.711760e+03 8.313476e+03 -1.855025e-01 1.163727e+02 5.796279e+03 8.237871e+03 -1.739750e-01 1.166592e+02 2.447276e-01 5.539840e-03 -6.995750e-05 -3.697001e-03
75.000 75.000 5.457489e+03 8.664895e+03 -2.271151e-01 1.157322e+02 5.530136e+03 8.601110e+03 -2.173180e-01 1.160339e+02 3.554782e-01 5.451327e-03 -5.978059e-05 -5.033979e-03
75.000 105.000 4.939742e+03 6.980091e+03 -1.711726e-01 1.075666e+02 5.003921e+03 6.916928e+03 -1.604757e-01 1.077676e+02 3.709787e-01 5.527879e-03 -7.025202e-05 -5.040143e-03
75.000 135.000 5.012286e+03 5.114820e+03 -1.012470e-02 1.006284e+02 5.038649e+03 5.074230e+03 -3.518416e-03 1.005622e+02 2.870757e-01 5.689533e-03 -4.643702e-05 -2.953446e-03
75.000 165.000 6.466499e+03 7.241150e+03 -5.651227e-02 1.168926e+02 6.448082e+03 7.249142e+03 -5.848337e-02 1.168348e+02 1.262511e-01 5.774396e-03 1.192648e-05 -1.563516e-03
75.000 195.000 6.579398e+03 5.816483e+03 6.154587e-02 1.111257e+02 6.543887e+03 5.862399e+03 5.493081e-02 1.112153e+02 -6.840245e-02 5.701155e-03 4.207547e-05 1.169381e-03
75.000 225.000 6.966879e+03 5.588513e+03 1.097828e-01 1.113736e+02 6.882173e+03 5.668887e+03 9.666804e-02 1.115068e+02 -2.447276e-01 5.539840e-03 8.321549e-05 3.183075e-03
75.000 255.000 7.104279e+03 4.849473e+03 1.886274e-01 1.073705e+02 7.005299e+03 4.940984e+03 1.727997e-01 1.076549e+02 -3.554782e-01 5.451327e-03 1.040980e-04 5.067550e-03
75.000 285.000 7.699867e+03 5.812169e+03 1.397049e-01 1.151013e+02 7.660237e+03 5.883604e+03 1.311764e-01 1.153724e+02 -3.709787e-01 5.527879e-03 5.233197e-05 4.436818e-03
75.000 315.000 7.164810e+03 5.837473e+03 1.020849e-01 1.134318e+02 7.136061e+03 5.861348e+03 9.807436e-02 1.134566e+02 -2.870757e-01 5.689533e-03 2.499824e-05 3.430789e-03
75.000 345.000 6.378577e+03 6.865786e+03 -3.678617e-02 1.150063e+02 6.390995e+03 6.859184e+03 -3.533456e-02 1.150375e+02 -1.262511e-01 5.774396e-03 -8.923855e-06 7.779134e-04
105.000 15.000 5.703471e+03 6.392686e+03 -5.697802e-02 1.098039e+02 5.705419e+03 6.386188e+03 -5.630098e-02 1.097874e+02 7.898210e-02 5.774396e-03 -4.360329e-06 -1.238209e-03
105.000 45.000 5.471898e+03 6.610298e+03 -9.422126e-02 1.094300e+02 5.524543e+03 6.547952e+03 -8.477194e-02 1.094794e+02 2.311696e-01 5.689533e-03 -6.104510e-05 -2.973506e-03
105.000 75.000 5.685235e+03 7.128547e+03 -1.126375e-01 1.124776e+02 5.806935e+03 7.017216e+03 -9.437513e-02 1.127383e+02 3.214154e-01 5.527878e-03 -1.146758e-04 -3.859016e-03
105.000 105.000 4.978306e+03 6.743476e+03 -1.505889e-01 1.070325e+02 5.092371e+03 6.631318e+03 -1.312682e-01 1.073391e+02 3.255382e-01 5.451326e-03 -1.274587e-04 -4.448432e-03
105.000 135.000 4.566315e+03 6.226724e+03 -1.538407e-01 1.026528e+02 4.655012e+03 6.135829e+03 -1.372291e-01 1.028962e+02 2.424333e-01 5.539840e-03 -1.142908e-04 -3.860333e-03
105.000 165.000 5.518464e+03 6.217348e+03 -5.955137e-02 1.081397e+02 5.572570e+03 6.168792e+03 -5.077956e-02 1.082178e+02 9.436860e-02 5.701155e-03 -5.733669e-05 -1.423344e-03
105.000 195.000 6.520498e+03 5.629508e+03 7.333253e-02 1.099303e+02 6.509756e+03 5.634087e+03 7.210808e-02 1.099122e+02 -7.898208e-02 5.774396e-03 7.876697e-06 1.385556e-03
