  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   2    0 -6.527e-02 -2.497e-02 2.9120e-03  3.882e-01  3.694e-01 2.8501e-03 -9.505e-03 -1.942e-02 2.8757e-03 -4.644e-04  1.371e-02 2.8752e-03  2.420e-02  1.048e-02 2.8696e-03 -7.5092e-03 1.6156e-03 3.6770e-01 3.6262e-02 4.3401e-01 5.3686e+00 2.8065e+00 7.4040e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 5.159111e+02 5.754146e+02 -5.452404e-02 3.298608e+01 5.200006e+02 5.717986e+02 -4.744282e-02 3.300518e+01 1.026765e-01 2.285487e-03 -1.517528e-04 -4.765663e-03
15.000 45.000 7.410322e+02 6.637021e+02 5.504967e-02 3.742295e+01 7.611532e+02 6.484349e+02 7.996539e-02 3.742425e+01 2.877925e-01 3.593242e-03 -4.707745e-04 -6.219253e-03
15.000 75.000 4.404563e+02 8.852028e+02 -3.354909e-01 3.429943e+01 4.612614e+02 8.660882e+02 -3.049888e-01 3.469700e+01 3.957947e-01 5.326806e-03 -6.251873e-04 -2.132064e-02
15.000 105.000 5.282086e+02 8.955909e+02 -2.580295e-01 3.645551e+01 5.506209e+02 8.683177e+02 -2.238975e-01 3.671249e+01 3.977440e-01 6.012520e-03 -6.597099e-04 -1.798832e-02
15.000 135.000 3.636896e+02 8.080416e+02 -3.792269e-01 3.167366e+01 3.769535e+02 7.875404e+02 -3.525883e-01 3.193315e+01 2.931182e-01 5.335022e-03 -5.922692e-04 -2.122726e-02
15.000 165.000 6.277753e+02 5.481522e+02 6.771095e-02 3.421310e+01 6.357459e+02 5.416434e+02 7.992468e-02 3.420334e+01 1.099516e-01 3.605411e-03 -2.524661e-04 -1.234633e-03
15.000 195.000 6.373386e+02 3.377158e+02 3.072882e-01 2.971504e+01 6.326222e+02 3.409176e+02 2.996329e-01 2.976803e+01 -1.026765e-01 2.285487e-03 1.820052e-04 1.379654e-02
15.000 225.000 7.477442e+02 6.155600e+02 9.695870e-02 3.674898e+01 7.299642e+02 6.337710e+02 7.053660e-02 3.683680e+01 -2.877924e-01 3.593241e-03 5.077947e-04 1.046971e-02
15.000 255.000 1.032217e+03 4.722759e+02 3.721792e-01 3.600131e+01 1.003739e+03 4.940587e+02 3.402863e-01 3.639176e+01 -3.957947e-01 5.326805e-03 6.230266e-04 2.133183e-02
15.000 285.000 6.496639e+02 6.524316e+02 -2.125581e-03 3.608448e+01 6.287404e+02 6.854338e+02 -4.313991e-02 3.621779e+01 -3.977440e-01 6.012520e-03 8.022281e-04 1.096367e-02
