  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   4    0 -9.752e-02 -3.929e-02 2.6144e-03  3.759e-01  3.645e-01 2.5534e-03 -1.996e-02 -3.553e-03 2.5773e-03 -2.213e-03  7.547e-03 2.5509e-03  3.990e-02  1.812e-02 2.5449e-03 1.5065e-02 2.8661e-03 4.6265e-01 8.6358e-02 4.3875e-01 5.4868e+00 2.7912e+00 6.6562e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 2.456233e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.433391e+01 -1.000000e+00 2.000000e+00 1.062535e-01 2.031652e-03 0.000000e+00 -5.531264e-01
15.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 2.939974e-01 3.204847e-03         -nan         -nan
15.000 75.000 1.260035e+01 4.578411e+01 -5.683663e-01 6.286806e+00 1.327931e+01 4.407888e+01 -5.369691e-01 6.389035e+00 4.029649e-01 4.757515e-03 -3.502800e-03 -1.545031e-01
15.000 105.000 9.252323e+01 9.887255e+01 -3.317380e-02 1.382697e+01 9.890090e+01 9.454194e+01 2.253357e-02 1.390484e+01 4.039584e-01 5.371537e-03 -2.840846e-03 -3.161445e-02
15.000 135.000 8.845716e+00 1.272202e+01 -1.797269e-01 4.568485e+00 9.389430e+00 1.239714e+01 -1.380535e-01 4.622915e+00 2.967115e-01 4.765498e-03 -6.411870e-03 -1.042880e-01
15.000 165.000 3.869175e+01 1.131386e+01 5.474963e-01 5.917459e+00 3.939178e+01 1.109581e+01 5.604538e-01 5.884642e+00 1.099610e-01 3.216687e-03 -1.552656e-03 7.393972e-02
15.000 195.000 3.161181e+01 7.086587e+01 -3.830498e-01 9.351012e+00 3.182256e+01 7.237600e+01 -3.891939e-01 9.402947e+00 -1.062534e-01 2.031652e-03 4.633152e-04 -2.960069e-02
15.000 225.000 0.000000e+00 1.062203e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.103002e+01 -1.000000e+00 2.000000e+00 -2.939974e-01 3.204847e-03 0.000000e+00 -3.530009e-01
15.000 255.000 4.666073e+01 1.201111e+01 5.905664e-01 6.181338e+00 4.450908e+01 1.280013e+01 5.532960e-01 6.305931e+00 -4.029649e-01 4.757515e-03 4.220746e-03 1.607307e-01
15.000 285.000 7.991558e+01 0.000000e+00 1.000000e+00 2.000000e+00 7.648537e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.039584e-01 5.371537e-03 0.000000e+00 7.019767e-01
