  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   6    0 -1.037e-01 -4.625e-02 2.5256e-03  3.646e-01  3.590e-01 2.4661e-03 -2.826e-02  1.778e-03 2.4889e-03 -3.937e-03  7.503e-03 2.4448e-03  5.170e-02  2.221e-02 2.4388e-03 -1.4684e-02 5.0276e-03 6.5046e-01 1.7140e-01 4.5324e-01 5.8093e+00 2.7740e+00 5.3228e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.082327e-01 1.950270e-03         -nan         -nan
15.000 45.000 5.457875e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.723758e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.957506e-01 3.084033e-03 0.000000e+00 3.521243e-01
15.000 75.000 5.109906e+01 9.450378e+01 -2.981035e-01 1.151797e+01 5.281095e+01 9.378915e+01 -2.795237e-01 1.162522e+01 4.040223e-01 4.582310e-03 -1.135350e-03 -6.095914e-02
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.040366e-01 5.174569e-03         -nan         -nan
15.000 135.000 7.932649e+00 1.022292e+02 -8.559819e-01 5.426390e+00 8.315458e+00 9.783686e+01 -8.433297e-01 5.536810e+00 2.957896e-01 4.590039e-03 -1.632008e-03 -2.122537e-01
15.000 165.000 1.238370e+01 5.269620e+01 -6.194309e-01 6.333174e+00 1.282847e+01 5.150265e+01 -6.011737e-01 6.409463e+00 1.082860e-01 3.095506e-03 -2.026190e-03 -1.149055e-01
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.082327e-01 1.950270e-03         -nan         -nan
15.000 225.000 4.059178e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.907412e+01 0.000000e+00 1.000000e+00 2.000000e+00 -2.957506e-01 3.084033e-03 0.000000e+00 6.478745e-01
15.000 255.000 2.705108e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.577754e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.040223e-01 4.582310e-03 0.000000e+00 7.020093e-01
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.040366e-01 5.174569e-03         -nan         -nan
