  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   8    0 -1.032e-01 -4.653e-02 2.5127e-03  3.433e-01  3.587e-01 2.4536e-03 -3.515e-02  2.274e-03 2.4758e-03 -5.171e-03  7.274e-03 2.4297e-03  5.647e-02  2.364e-02 2.4237e-03 1.2718e-01 1.0687e-02 8.4979e-01 2.8528e-01 4.4761e-01 5.8779e+00 2.7885e+00 3.7110e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.088839e-01 1.938638e-03         -nan         -nan
15.000 45.000 6.996115e+00 0.000000e+00 1.000000e+00 2.000000e+00 7.352999e+00 0.000000e+00 1.000000e+00 2.000000e+00 2.967885e-01 3.066731e-03 0.000000e+00 3.516053e-01
15.000 75.000 0.000000e+00 3.896431e+01 -1.000000e+00 2.000000e+00 0.000000e+00 3.798810e+01 -1.000000e+00 2.000000e+00 4.051688e-01 4.557093e-03 0.000000e+00 -7.025826e-01
15.000 105.000 2.602721e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.799595e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.049845e-01 5.146149e-03 0.000000e+00 2.975068e-01
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 2.962849e-01 4.564683e-03         -nan         -nan
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.081960e-01 3.077997e-03         -nan         -nan
15.000 195.000 3.815624e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.816344e+01 0.000000e+00 1.000000e+00 2.000000e+00 -1.088839e-01 1.938638e-03 0.000000e+00 5.544417e-01
15.000 225.000 5.027582e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.069722e+01 0.000000e+00 1.000000e+00 2.000000e+00 -2.967885e-01 3.066731e-03 0.000000e+00 6.483935e-01
15.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.051688e-01 4.557093e-03         -nan         -nan
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.049845e-01 5.146149e-03         -nan         -nan
15.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -2.962849e-01 4.564683e-03         -nan         -nan
15.000 345.000 0.000000e+00 7.059356e+01 -1.000000e+00 2.000000e+00 0.000000e+00 7.400639e+01 -1.000000e+00 2.000000e+00 -1.081960e-01 3.077997e-03 0.000000e+00 -4.459015e-01
45.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 9.854221e-02 4.066201e-03         -nan         -nan
45.000 45.000 0.000000e+00 2.750737e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.805135e+01 -1.000000e+00 2.000000e+00 2.861612e-01 4.225238e-03 0.000000e+00 -6.430791e-01
45.000 75.000 2.804362e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.756207e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.971035e-01 4.054531e-03 0.000000e+00 3.014477e-01
45.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.016422e-01 3.702320e-03         -nan         -nan
45.000 135.000 3.164948e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.297923e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.985613e-01 3.519734e-03 0.000000e+00 3.507188e-01
