  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.575e-02  2.331e-02 2.0129e-02  3.855e-01  5.524e-01 1.9056e-02 -2.063e-03 -6.546e-02 1.9442e-02  6.741e-04  6.744e-03 1.9002e-02  1.018e-02  8.623e-02 1.9253e-02 -6.5378e-02 6.1266e-03 2.8435e-01 1.0812e-02 4.1227e-01 5.0875e+00 2.8375e+00 7.7377e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.249750e+02 2.161643e+02 -2.673083e-01 1.779785e+01 1.197852e+02 2.228861e+02 -3.008741e-01 1.765364e+01 1.725163e-01 1.525071e-02 1.338980e-03 -2.471222e-02
15.000 45.000 5.553462e+01 1.960569e+02 -5.585334e-01 1.315694e+01 5.103619e+01 2.076769e+02 -6.054612e-01 1.280130e+01 4.705704e-01 2.421134e-02 2.556402e-03 -7.821742e-02
15.000 75.000 6.474285e+01 1.257819e+02 -3.203734e-01 1.307553e+01 5.673145e+01 1.346579e+02 -4.071620e-01 1.263569e+01 6.425356e-01 3.595318e-02 4.772998e-03 -7.364178e-02
15.000 105.000 9.611631e+01 4.680691e+01 3.450062e-01 1.122101e+01 8.545241e+01 5.013280e+01 2.604975e-01 1.124209e+01 6.423338e-01 4.056438e-02 5.320429e-03 -2.649722e-02
15.000 135.000 7.257086e+01 2.704289e+02 -5.768460e-01 1.512832e+01 6.709343e+01 2.869383e+02 -6.209750e-01 1.474834e+01 4.700193e-01 3.594251e-02 2.088681e-03 -6.919883e-02
15.000 165.000 5.048471e+01 7.200690e+01 -1.757033e-01 1.089542e+01 4.880156e+01 7.311179e+01 -1.994058e-01 1.081969e+01 1.717634e-01 2.419550e-02 1.543632e-03 -3.189101e-02
15.000 195.000 3.629404e+01 2.240130e+02 -7.211444e-01 1.117741e+01 3.711284e+01 2.165773e+02 -7.074160e-01 1.125762e+01 -1.725163e-01 1.525071e-02 -8.653791e-04 -4.908359e-02
15.000 225.000 1.373580e+02 6.635610e+01 3.485371e-01 1.337787e+01 1.464349e+02 6.193184e+01 4.055496e-01 1.319456e+01 -4.705704e-01 2.421134e-02 -3.034191e-03 6.122846e-02
15.000 255.000 1.961798e+02 9.419234e+01 3.512302e-01 1.595466e+01 2.106486e+02 8.407820e+01 4.294498e-01 1.550391e+01 -6.425356e-01 3.595318e-02 -3.515987e-03 6.228672e-02
15.000 285.000 1.476559e+02 4.928219e+01 4.995158e-01 1.215725e+01 1.588773e+02 4.286647e+01 5.750404e-01 1.162036e+01 -6.423338e-01 4.056438e-02 -4.490807e-03 9.392279e-02
