  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -8.849e-02  1.086e-02 1.5463e-02  3.783e-01  4.946e-01 1.4669e-02 -1.589e-02 -6.211e-02 1.4864e-02 -1.415e-03  2.061e-02 1.4497e-02  3.351e-02  3.492e-02 1.4523e-02 2.4683e-01 1.1886e-02 4.0635e-01 6.1209e-02 4.3679e-01 5.3215e+00 2.7858e+00 7.0453e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 4.983741e+01 6.598269e+01 -1.393996e-01 1.065690e+01 4.945869e+01 6.667468e+01 -1.482433e-01 1.065745e+01 1.397016e-01 1.159675e-02 5.867848e-04 -2.618971e-02
15.000 45.000 1.654671e+01 6.480349e+01 -5.931980e-01 7.261156e+00 1.629647e+01 6.572918e+01 -6.026494e-01 7.227382e+00 3.906219e-01 1.844869e-02 9.225474e-04 -1.354904e-01
15.000 75.000 1.775591e+01 8.882448e+01 -6.668072e-01 7.693592e+00 1.739037e+01 9.067248e+01 -6.781435e-01 7.639834e+00 5.368753e-01 2.745944e-02 1.045553e-03 -1.564516e-01
15.000 105.000 2.289817e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.239409e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.392734e-01 3.101320e-02 0.000000e+00 2.303356e-01
15.000 135.000 1.682053e+01 1.209567e+02 -7.558301e-01 7.685570e+00 1.660496e+01 1.221445e+02 -7.606482e-01 7.646632e+00 3.971736e-01 2.749452e-02 4.444070e-04 -1.500209e-01
15.000 165.000 2.210518e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.220461e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.486515e-01 1.850086e-02 0.000000e+00 4.256560e-01
15.000 195.000 7.512760e+01 2.513847e+01 4.985649e-01 8.680048e+00 7.613755e+01 2.473638e+01 5.095585e-01 8.641877e+00 -1.397016e-01 1.159675e-02 -8.975530e-04 7.353253e-02
15.000 225.000 5.236069e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.362504e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.906218e-01 1.844869e-02 0.000000e+00 6.952813e-01
15.000 255.000 1.071439e+02 1.682734e+01 7.285282e-01 7.627128e+00 1.100116e+02 1.628061e+01 7.421755e-01 7.531756e+00 -5.368753e-01 2.745944e-02 -1.273165e-03 1.659072e-01
15.000 285.000 6.908233e+01 3.834983e+01 2.860643e-01 9.931802e+00 6.991627e+01 3.757918e+01 3.008229e-01 9.887756e+00 -5.392734e-01 3.101320e-02 -1.053090e-03 8.310009e-02
