  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   4    0 -9.937e-02  3.090e-03 1.4902e-02  3.737e-01  4.832e-01 1.4132e-02 -2.051e-02 -6.104e-02 1.4358e-02 -2.175e-03  3.583e-02 1.3925e-02  4.021e-02  4.164e-02 1.3955e-02 -3.3231e-02 1.5389e-02 4.6699e-01 8.7000e-02 4.4316e-01 5.3934e+00 2.7552e+00 6.6496e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 6.789097e+01 6.162589e+01 4.837266e-02 1.136723e+01 6.715902e+01 6.263197e+01 3.487952e-02 1.138565e+01 1.479980e-01 1.115122e-02 8.386712e-04 -8.764262e-03
15.000 45.000 7.205220e+01 9.783260e+00 7.609041e-01 5.869818e+00 7.066156e+01 9.832123e+00 7.557045e-01 5.875764e+00 3.919886e-01 1.775500e-02 6.260597e-04 6.284928e-02
15.000 75.000 2.187990e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.123127e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.309461e-01 2.644205e-02 0.000000e+00 2.345064e-01
15.000 105.000 1.124440e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.121442e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.276371e-01 2.987027e-02 0.000000e+00 2.361551e-01
15.000 135.000 3.380117e+01 3.760653e+01 -5.329055e-02 8.438300e+00 3.390698e+01 3.750937e+01 -5.044207e-02 8.440062e+00 3.829481e-01 2.648287e-02 -2.386700e-04 -5.169720e-02
15.000 165.000 2.303092e+01 4.901505e+01 -3.606604e-01 7.916724e+00 2.336163e+01 4.868080e+01 -3.514480e-01 7.946324e+00 1.356485e-01 1.781575e-02 -8.213013e-04 -6.269104e-02
15.000 195.000 3.195115e+01 4.096308e+01 -1.235963e-01 8.473511e+00 3.249178e+01 4.011289e+01 -1.049672e-01 8.473766e+00 -1.479980e-01 1.115122e-02 -1.554557e-03 2.879768e-03
15.000 225.000 1.548279e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.557843e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.919886e-01 1.775500e-02 0.000000e+00 6.959669e-01
15.000 255.000 2.397063e+01 2.609333e+01 -4.239971e-02 7.069226e+00 2.402146e+01 2.579848e+01 -3.566883e-02 7.053833e+00 -5.309461e-01 2.644205e-02 -6.739959e-04 6.910842e-02
15.000 285.000 6.062087e+01 2.821891e+01 3.647236e-01 8.776219e+00 6.094069e+01 2.798889e+01 3.705381e-01 8.758978e+00 -5.276371e-01 2.987027e-02 -4.689407e-04 1.016788e-01
15.000 315.000 4.792608e+01 2.672470e+01 2.840075e-01 8.284288e+00 4.784491e+01 2.685411e+01 2.810050e-01 8.294607e+00 -3.829481e-01 2.648288e-02 2.561147e-04 8.050808e-02
15.000 345.000 4.737434e+01 4.177780e+01 6.277513e-02 9.423418e+00 4.707092e+01 4.309883e+01 4.405120e-02 9.486557e+00 -1.356485e-01 1.781575e-02 1.400292e-03 2.105640e-02
45.000 15.000 4.028372e+01 3.868656e+01 2.022486e-02 8.884705e+00 3.904884e+01 3.970382e+01 -8.316862e-03 8.873963e+00 1.347372e-01 2.351008e-02 2.272923e-03 -1.288866e-02
45.000 45.000 4.166206e+00 5.439134e+01 -8.577056e-01 3.934357e+00 4.047529e+00 5.586317e+01 -8.648813e-01 3.885399e+00 3.759822e-01 2.432243e-02 1.297704e-03 -3.135618e-01
45.000 75.000 3.408924e+01 2.858743e+01 8.778091e-02 7.886299e+00 3.261488e+01 2.913394e+01 5.637254e-02 7.845546e+00 5.164830e-01 2.339119e-02 2.823445e-03 -5.436013e-02
45.000 105.000 6.205412e+00 3.669667e+01 -7.107174e-01 4.607756e+00 6.037889e+00 3.753153e+01 -7.228382e-01 4.561207e+00 5.185927e-01 2.153738e-02 1.869478e-03 -2.667886e-01
45.000 135.000 4.144286e+01 2.999931e+01 1.601792e-01 8.343210e+00 4.138060e+01 3.003968e+01 1.587913e-01 8.343827e+00 3.817458e-01 2.061559e-02 1.176235e-04 -2.655644e-02
45.000 165.000 2.027583e+01 4.938043e+01 -4.178318e-01 7.582574e+00 2.073261e+01 4.866175e+01 -4.024698e-01 7.625859e+00 1.426105e-01 2.166645e-02 -1.428489e-03 -7.391158e-02
