  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   8    0 -1.068e-01 -1.626e-02 1.3716e-02  3.305e-01  4.714e-01 1.3038e-02 -3.857e-02 -5.136e-02 1.3202e-02 -5.252e-03  1.706e-02 1.2806e-02  5.484e-02  3.480e-02 1.2802e-02 -1.1724e-01 2.8279e-02 8.4283e-01 2.8937e-01 4.5321e-01 5.4738e+00 2.6969e+00 3.8451e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 7.294827e+00 0.000000e+00 1.000000e+00 2.000000e+00 7.204436e+00 0.000000e+00 1.000000e+00 2.000000e+00 1.346443e-01 1.024860e-02 0.000000e+00 4.326721e-01
15.000 45.000 8.187204e+00 9.144640e+00 -5.524146e-02 4.156796e+00 8.009602e+00 9.242092e+00 -7.144169e-02 4.142903e+00 3.848908e-01 1.632852e-02 2.760407e-03 -1.058817e-01
15.000 75.000 5.998600e+00 1.326927e+01 -3.773470e-01 4.065010e+00 5.903349e+00 1.336371e+01 -3.872080e-01 4.047017e+00 5.320060e-01 2.432560e-02 1.719119e-03 -2.236985e-01
15.000 105.000 3.151280e+00 7.940298e+00 -4.317706e-01 3.003968e+00 3.112882e+00 8.019899e+00 -4.407719e-01 2.994980e+00 5.365707e-01 2.748203e-02 2.121983e-03 -3.223406e-01
15.000 135.000 0.000000e+00 1.368259e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.372169e+01 -1.000000e+00 2.000000e+00 3.973617e-01 2.436545e-02 0.000000e+00 -6.986290e-01
15.000 165.000 0.000000e+00 1.518416e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.508890e+01 -1.000000e+00 2.000000e+00 1.516799e-01 1.638783e-02 0.000000e+00 -5.758206e-01
15.000 195.000 5.806088e+00 4.622227e+00 1.135237e-01 3.208414e+00 5.838586e+00 4.541875e+00 1.249185e-01 3.196635e+00 -1.346443e-01 1.024860e-02 -2.515936e-03 7.734874e-02
15.000 225.000 2.273244e+00 9.141141e+00 -6.016879e-01 2.698528e+00 2.304422e+00 9.024943e+00 -5.931948e-01 2.709758e+00 -3.848907e-01 1.632852e-02 -2.220864e-03 -8.033757e-02
15.000 255.000 7.193313e+00 0.000000e+00 1.000000e+00 2.000000e+00 7.333152e+00 0.000000e+00 1.000000e+00 2.000000e+00 -5.320060e-01 2.432560e-02 0.000000e+00 7.659463e-01
15.000 285.000 0.000000e+00 1.000310e+01 -1.000000e+00 2.000000e+00 0.000000e+00 9.873679e+00 -1.000000e+00 2.000000e+00 -5.365707e-01 2.748203e-02 0.000000e+00 -2.316928e-01
15.000 315.000 1.334269e+01 7.315995e+00 2.917271e-01 4.347475e+00 1.333950e+01 7.319494e+00 2.913990e-01 4.347962e+00 -3.973617e-01 2.436545e-02 5.336429e-05 1.585007e-01
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.516800e-01 1.638783e-02         -nan         -nan
45.000 15.000 4.919029e+00 3.354918e+00 1.890405e-01 2.824583e+00 4.615081e+00 3.422606e+00 1.483605e-01 2.803707e+00 1.091794e-01 2.160903e-02 1.022155e-02 2.827277e-02
45.000 45.000 0.000000e+00 3.037381e+01 -1.000000e+00 2.000000e+00 0.000000e+00 3.141716e+01 -1.000000e+00 2.000000e+00 3.488731e-01 2.236126e-02 0.000000e+00 -6.743944e-01
45.000 75.000 9.108392e+00 6.963106e+00 1.334839e-01 3.973051e+00 8.691176e+00 7.179973e+00 9.521704e-02 3.965761e+00 4.950866e-01 2.152263e-02 6.816819e-03 -9.101251e-02
45.000 105.000 3.580164e+00 3.546670e+01 -8.166222e-01 3.606606e+00 3.471624e+00 3.613305e+01 -8.246862e-01 3.559389e+00 5.086420e-01 1.983294e-02 1.591390e-03 -3.674491e-01
45.000 135.000 0.000000e+00 2.041539e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.074466e+01 -1.000000e+00 2.000000e+00 3.859072e-01 1.898077e-02 0.000000e+00 -6.929224e-01
45.000 165.000 4.121101e+00 4.516052e+00 -4.572693e-02 2.935829e+00 4.209835e+00 4.435930e+00 -2.615097e-02 2.939363e+00 1.597688e-01 1.992667e-02 -4.712116e-03 -6.999421e-02
45.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.091794e-01 2.160903e-02         -nan         -nan
45.000 225.000 2.449896e+01 7.910750e+00 5.118284e-01 4.890746e+00 2.526476e+01 7.657107e+00 5.348315e-01 4.848169e+00 -3.488731e-01 2.236126e-02 -3.340317e-03 1.759839e-01
45.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.950866e-01 2.152263e-02         -nan         -nan
45.000 285.000 1.796301e+01 1.215183e+00 8.732745e-01 2.133716e+00 1.856609e+01 1.188310e+00 8.796916e-01 2.113602e+00 -5.086420e-01 1.983294e-02 -2.136672e-03 6.476292e-01
45.000 315.000 4.142375e+00 2.037243e+01 -6.620511e-01 3.710752e+00 4.163559e+00 2.019365e+01 -6.581251e-01 3.715832e+00 -3.859072e-01 1.898077e-02 -7.476062e-04 -7.441627e-02
45.000 345.000 2.540808e+01 9.273304e+00 4.652287e-01 5.212967e+00 2.497471e+01 9.455484e+00 4.507446e-01 5.237842e+00 -1.597689e-01 1.992667e-02 1.960001e-03 1.198920e-01
75.000 15.000 2.015402e+01 3.738732e+00 6.870405e-01 3.551730e+00 1.948729e+01 3.814000e+00 6.726361e-01 3.571956e+00 9.787872e-02 2.108363e-02 2.859574e-03 1.658773e-01
75.000 45.000 5.668508e+00 3.664120e+01 -7.320469e-01 4.431280e+00 5.348808e+00 3.855843e+01 -7.563587e-01 4.334611e+00 3.057279e-01 2.043435e-02 3.922016e-03 -2.341905e-01
75.000 75.000 7.458081e+00 1.922038e+01 -4.408913e-01 4.636008e+00 6.890295e+00 1.995455e+01 -4.866578e-01 4.526259e+00 4.316575e-01 2.007961e-02 7.063654e-03 -1.882095e-01
75.000 105.000 1.327937e+01 1.913546e+01 -1.806607e-01 5.599720e+00 1.253269e+01 1.965243e+01 -2.212123e-01 5.532644e+00 4.419248e-01 2.039059e-02 5.151432e-03 -1.111808e-01
75.000 135.000 1.181312e+01 1.646287e+01 -1.644418e-01 5.245129e+00 1.156900e+01 1.670714e+01 -1.817129e-01 5.229003e+00 3.337788e-01 2.104122e-02 2.331945e-03 -9.498652e-02
75.000 165.000 1.079846e+01 1.910384e+01 -2.777506e-01 5.253140e+00 1.083862e+01 1.888608e+01 -2.707332e-01 5.248427e+00 1.361970e-01 2.138001e-02 -9.450117e-04 -7.879936e-02
75.000 195.000 1.713743e+01 3.424973e+00 6.668704e-01 3.379049e+00 1.762479e+01 3.365055e+00 6.793634e-01 3.361890e+00 -9.787869e-02 2.108363e-02 -2.620959e-03 2.263164e-01
75.000 225.000 2.002732e+01 2.023066e+01 -5.050839e-03 6.344836e+00 2.096103e+01 1.921961e+01 4.333979e-02 6.332863e+00 -3.057278e-01 2.043435e-02 -5.398034e-03 4.738900e-02
75.000 255.000 1.403230e+00 7.349423e+00 -6.793589e-01 2.170957e+00 1.447984e+00 6.971212e+00 -6.560279e-01 2.189932e+00 -4.316575e-01 2.007961e-02 -7.566038e-03 -1.140929e-01
75.000 285.000 4.230503e+00 4.003151e+00 2.761257e-02 2.868340e+00 4.418593e+00 3.714065e+00 8.662951e-02 2.841060e+00 -4.419248e-01 2.039059e-02 -1.461828e-02 1.636924e-01
75.000 315.000 2.199319e+01 9.646423e+00 3.902313e-01 5.178950e+00 2.243079e+01 9.482069e+00 4.057523e-01 5.163224e+00 -3.337788e-01 2.104122e-02 -2.122383e-03 1.397975e-01
75.000 345.000 7.592880e+00 1.764204e+01 -3.982243e-01 4.607939e+00 7.410326e+00 1.779875e+01 -4.120907e-01 4.574725e+00 -1.361970e-01 2.138001e-02 2.135532e-03 -5.686372e-02
105.000 15.000 4.020643e+00 1.858410e+01 -6.442655e-01 3.636208e+00 3.705137e+00 1.948477e+01 -6.804527e-01 3.528826e+00 1.344035e-01 2.138001e-02 7.141713e-03 -2.141394e-01
105.000 45.000 2.270020e+00 9.481623e+00 -6.136676e-01 2.706680e+00 2.120432e+00 9.931291e+00 -6.481114e-01 2.643751e+00 3.062956e-01 2.104122e-02 9.103463e-03 -3.398759e-01
105.000 75.000 1.489578e+01 2.727193e+01 -2.934983e-01 6.207683e+00 1.354690e+01 2.879748e+01 -3.601558e-01 6.070568e+00 3.961160e-01 2.039059e-02 7.677161e-03 -1.110898e-01
105.000 105.000 1.516982e+01 2.162811e+01 -1.755071e-01 5.971972e+00 1.389922e+01 2.275532e+01 -2.416100e-01 5.874931e+00 3.797975e-01 2.007961e-02 7.890716e-03 -9.298460e-02
105.000 135.000 1.589121e+01 4.328845e+01 -4.629503e-01 6.818805e+00 1.549869e+01 4.423827e+01 -4.811021e-01 6.775713e+00 2.617125e-01 2.043435e-02 1.888290e-03 -1.062737e-01
105.000 165.000 9.966666e+00 8.790915e+00 6.268136e-02 4.322486e+00 1.002888e+01 8.813267e+00 6.451540e-02 4.331711e+00 7.350189e-02 2.108363e-02 -2.997070e-04 -2.503282e-03
105.000 195.000 2.091686e+00 2.576605e+01 -8.498309e-01 2.781821e+00 2.179432e+00 2.472445e+01 -8.379838e-01 2.830463e+00 -1.344035e-01 2.138001e-02 -2.985166e-03 -2.571719e-01
105.000 225.000 4.342637e+00 0.000000e+00 1.000000e+00 2.000000e+00 4.491799e+00 0.000000e+00 1.000000e+00 2.000000e+00 -3.062956e-01 2.104122e-02 0.000000e+00 6.531117e-01
105.000 255.000 1.910173e+01 1.410353e+01 1.505244e-01 5.696746e+00 2.007471e+01 1.295071e+01 2.157127e-01 5.611478e+00 -3.961160e-01 2.039059e-02 -8.152260e-03 9.595600e-02
105.000 285.000 1.830434e+01 6.794451e+00 4.585833e-01 4.452027e+00 1.911159e+01 6.412775e+00 4.975173e-01 4.382520e+00 -3.797975e-01 2.007961e-02 -6.232261e-03 1.883125e-01
105.000 315.000 1.747886e+01 3.771901e+00 6.450103e-01 3.522731e+00 1.771073e+01 3.581234e+00 6.636070e-01 3.451888e+00 -2.617125e-01 2.043435e-02 -3.770580e-03 2.573877e-01
105.000 345.000 1.782450e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.785193e+01 0.000000e+00 1.000000e+00 2.000000e+00 -7.350191e-02 2.108363e-02 0.000000e+00 5.367211e-01
135.000 15.000 4.853641e+00 0.000000e+00 1.000000e+00 2.000000e+00 4.625259e+00 0.000000e+00 1.000000e+00 2.000000e+00 1.834657e-01 1.992667e-02 0.000000e+00 4.082469e-01
135.000 45.000 1.047456e+01 1.711609e+00 7.190899e-01 2.425865e+00 9.464983e+00 1.817842e+00 6.777683e-01 2.469785e+00 3.533871e-01 1.898077e-02 1.193617e-02 1.507469e-01
135.000 75.000 4.212619e+00 1.779329e+00 4.060934e-01 2.236919e+00 3.797351e+00 1.961328e+00 3.188273e-01 2.274490e+00 4.286188e-01 1.983294e-02 2.735479e-02 -1.006945e-02
135.000 105.000 1.800946e+00 4.595004e+00 -4.368480e-01 2.274944e+00 1.656859e+00 4.940788e+00 -4.977423e-01 2.227801e+00 3.890024e-01 2.152263e-02 1.912452e-02 -3.630038e-01
135.000 135.000 8.136400e+00 3.894570e+00 3.525759e-01 3.245829e+00 7.935029e+00 4.001635e+00 3.295220e-01 3.261982e+00 2.451531e-01 2.236126e-02 5.009824e-03 3.309484e-02
135.000 165.000 4.215972e+00 3.295896e+00 1.224829e-01 2.720142e+00 4.203081e+00 3.188439e+00 1.372712e-01 2.692998e+00 3.561529e-02 2.160903e-02 -3.863463e-03 3.193395e-02
135.000 195.000 3.222197e+00 2.469083e+00 1.323277e-01 2.364661e+00 3.430569e+00 2.282432e+00 2.009690e-01 2.341423e+00 -1.834657e-01 1.992667e-02 -2.062698e-02 1.335422e-01
135.000 225.000 0.000000e+00 9.650198e+00 -1.000000e+00 2.000000e+00 0.000000e+00 8.779822e+00 -1.000000e+00 2.000000e+00 -3.533871e-01 1.898077e-02 0.000000e+00 -3.232919e-01
135.000 255.000 0.000000e+00 6.584330e+00 -1.000000e+00 2.000000e+00 0.000000e+00 5.800412e+00 -1.000000e+00 2.000000e+00 -4.286188e-01 1.983294e-02 0.000000e+00 -2.856766e-01
135.000 285.000 1.088987e+01 1.025289e+01 3.012788e-02 4.596038e+00 1.157593e+01 9.505935e+00 9.818840e-02 4.569312e+00 -3.890024e-01 2.152263e-02 -1.050169e-02 9.119282e-02
135.000 315.000 1.562607e+00 6.299589e+00 -6.025011e-01 2.237892e+00 1.604038e+00 6.167218e+00 -5.871870e-01 2.256505e+00 -2.451532e-01 2.236126e-02 -4.818704e-03 -1.596726e-01
135.000 345.000 1.608378e+00 1.738908e+01 -8.306744e-01 2.426692e+00 1.620420e+00 1.751092e+01 -8.306004e-01 2.435710e+00 -3.561531e-02 2.160903e-02 -2.152509e-05 -3.276179e-01
165.000 15.000 5.223883e+00 7.678528e+00 -1.902470e-01 3.526389e+00 4.913669e+00 8.066756e+00 -2.429109e-01 3.494926e+00 1.649687e-01 1.638783e-02 1.060732e-02 -1.007296e-01
165.000 45.000 3.104880e+00 2.853053e+00 4.226756e-02 2.438707e+00 2.698425e+00 3.135024e+00 -7.484400e-02 2.408479e+00 3.685185e-01 2.436545e-02 3.416777e-02 -1.337737e-01
165.000 75.000 6.573952e+00 0.000000e+00 1.000000e+00 2.000000e+00 5.594126e+00 0.000000e+00 1.000000e+00 2.000000e+00 4.733241e-01 2.748203e-02 0.000000e+00 2.633131e-01
165.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.513029e-01 2.432560e-02         -nan         -nan
165.000 135.000 1.918671e+00 8.987029e+00 -6.481343e-01 2.514847e+00 1.789423e+00 9.594943e+00 -6.856350e-01 2.456141e+00 3.083554e-01 1.632852e-02 1.066797e-02 -3.803291e-01
165.000 165.000 4.754433e+00 0.000000e+00 1.000000e+00 2.000000e+00 4.870982e+00 0.000000e+00 1.000000e+00 2.000000e+00 8.278437e-02 1.024860e-02 0.000000e+00 4.586018e-01
165.000 195.000 4.487857e+00 0.000000e+00 1.000000e+00 2.000000e+00 4.744909e+00 0.000000e+00 1.000000e+00 2.000000e+00 -1.649687e-01 1.638783e-02 0.000000e+00 5.824648e-01
165.000 225.000 7.650082e+00 1.535430e+00 6.656844e-01 2.261655e+00 8.243447e+00 1.393816e+00 7.107445e-01 2.183787e+00 -3.685185e-01 2.436545e-02 -1.433260e-02 4.572505e-01
165.000 255.000 0.000000e+00 6.559839e+00 -1.000000e+00 2.000000e+00 0.000000e+00 5.683026e+00 -1.000000e+00 2.000000e+00 -4.733241e-01 2.748203e-02 0.000000e+00 -2.633131e-01
165.000 285.000 8.136955e+00 6.818151e+00 8.818420e-02 3.852117e+00 9.114111e+00 6.026393e+00 2.039376e-01 3.809305e+00 -4.513029e-01 2.432560e-02 -2.136647e-02 1.400467e-01
165.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.083554e-01 1.632853e-02         -nan         -nan
165.000 345.000 8.451381e+00 2.256076e+00 5.785973e-01 2.668870e+00 8.556537e+00 2.273301e+00 5.801783e-01 2.680381e+00 -8.278439e-02 1.024860e-02 -4.179703e-04 2.478115e-01
195.000 15.000 7.819333e+00 1.365746e+01 -2.718342e-01 4.459797e+00 7.722059e+00 1.368389e+01 -2.785129e-01 4.443592e+00 8.278436e-02 1.024860e-02 1.060851e-03 -7.951430e-02
195.000 45.000 3.669112e+00 5.691432e+00 -2.160473e-01 2.987244e+00 3.373855e+00 6.106481e+00 -2.882414e-01 2.948335e+00 3.083554e-01 1.632852e-02 1.720063e-02 -1.755447e-01
