  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   9    0 -1.055e-01 -1.888e-02 1.3588e-02  3.108e-01  4.675e-01 1.2933e-02 -4.495e-02 -5.148e-02 1.3077e-02 -6.508e-03  1.725e-02 1.2703e-02  5.508e-02  3.745e-02 1.2705e-02 -2.8535e-02 3.6997e-02 1.0479e+00 4.3837e-01 4.3631e-01 5.3582e+00 2.7810e+00 2.5242e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.350239e-01 1.016640e-02         -nan         -nan
15.000 45.000 9.568975e+00 9.120570e+00 2.399231e-02 4.321896e+00 9.382825e+00 9.322227e+00 3.239656e-03 4.324911e+00 3.857691e-01 1.619592e-02 3.394165e-03 -8.370729e-02
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 5.331477e-01 2.412045e-02         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 5.376699e-01 2.724577e-02         -nan         -nan
15.000 135.000 0.000000e+00 9.370989e+00 -1.000000e+00 2.000000e+00 0.000000e+00 9.413933e+00 -1.000000e+00 2.000000e+00 3.981239e-01 2.415325e-02 0.000000e+00 -6.990110e-01
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.519008e-01 1.624474e-02         -nan         -nan
15.000 195.000 1.557375e+00 0.000000e+00 1.000000e+00 2.000000e+00 1.570504e+00 0.000000e+00 1.000000e+00 2.000000e+00 -1.350239e-01 1.016640e-02 0.000000e+00 5.675046e-01
15.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.857690e-01 1.619592e-02         -nan         -nan
15.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -5.331477e-01 2.412044e-02         -nan         -nan
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -5.376699e-01 2.724577e-02         -nan         -nan
15.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.981239e-01 2.415325e-02         -nan         -nan
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.519009e-01 1.624474e-02         -nan         -nan
45.000 15.000 4.665051e+00 1.176766e+00 5.971232e-01 1.938784e+00 4.420282e+00 1.200325e+00 5.728842e-01 1.943179e+00 1.092036e-01 2.142435e-02 8.830364e-03 2.516474e-01
45.000 45.000 0.000000e+00 4.162295e+00 -1.000000e+00 2.000000e+00 0.000000e+00 4.354786e+00 -1.000000e+00 2.000000e+00 3.488706e-01 2.217923e-02 0.000000e+00 -6.743938e-01
45.000 75.000 9.264815e+00 8.608782e+00 3.670403e-02 4.224869e+00 8.735480e+00 9.015370e+00 -1.576770e-02 4.212652e+00 4.950579e-01 2.134852e-02 8.794781e-03 -1.084881e-01
45.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 5.085949e-01 1.966430e-02         -nan         -nan
45.000 135.000 0.000000e+00 4.194754e+00 -1.000000e+00 2.000000e+00 0.000000e+00 4.240903e+00 -1.000000e+00 2.000000e+00 3.858543e-01 1.880875e-02 0.000000e+00 -6.928965e-01
