  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.578e-02 -3.762e-02 3.4497e-03  3.942e-01  4.010e-01 3.3784e-03 -2.036e-03  7.842e-03 3.4071e-03  6.750e-04 -2.083e-02 3.3882e-03  1.062e-02  3.988e-02 3.3719e-03 -1.3616e-02 1.0939e-03 3.0957e-01 1.1261e-02 4.2941e-01 5.2614e+00 2.8082e+00 7.7419e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 4.704440e+03 5.751719e+03 -1.001590e-01 1.017412e+02 4.697473e+03 5.762652e+03 -1.018323e-01 1.017431e+02 1.153411e-01 2.693432e-03 1.162929e-05 -2.118121e-03
15.000 45.000 4.893029e+03 7.431476e+03 -2.059675e-01 1.086355e+02 4.812552e+03 7.517700e+03 -2.193911e-01 1.083364e+02 3.348672e-01 4.241084e-03 8.749464e-05 -4.978436e-03
15.000 75.000 4.794678e+03 6.653629e+03 -1.623778e-01 1.055768e+02 4.677299e+03 6.765657e+03 -1.825016e-01 1.051752e+02 4.646660e-01 6.294298e-03 1.350371e-04 -5.939221e-03
15.000 105.000 5.108567e+03 7.748061e+03 -2.053022e-01 1.109718e+02 4.968116e+03 7.895525e+03 -2.275723e-01 1.104420e+02 4.699579e-01 7.107558e-03 1.422433e-04 -6.084971e-03
15.000 135.000 5.063451e+03 6.334178e+03 -1.114905e-01 1.060941e+02 4.963683e+03 6.421167e+03 -1.280196e-01 1.058218e+02 3.493249e-01 6.307548e-03 1.103064e-04 -4.343460e-03
15.000 165.000 5.359918e+03 5.594736e+03 -2.143542e-02 1.046404e+02 5.320838e+03 5.633365e+03 -2.853032e-02 1.046197e+02 1.350906e-01 4.260723e-03 4.794848e-05 -1.495847e-03
15.000 195.000 5.320832e+03 5.777212e+03 -4.112259e-02 1.052581e+02 5.333642e+03 5.761049e+03 -3.852362e-02 1.052532e+02 -1.153411e-01 2.693432e-03 -1.745987e-05 7.051092e-04
15.000 225.000 5.580317e+03 4.991762e+03 5.567072e-02 1.026612e+02 5.644760e+03 4.898250e+03 7.080621e-02 1.024214e+02 -3.348672e-01 4.241084e-03 -1.043717e-04 3.804145e-03
15.000 255.000 7.324333e+03 4.457876e+03 2.432869e-01 1.052846e+02 7.460558e+03 4.338247e+03 2.646294e-01 1.047499e+02 -4.646660e-01 6.294298e-03 -1.437042e-04 6.724185e-03
15.000 285.000 7.937564e+03 3.864521e+03 3.451121e-01 1.019629e+02 8.106084e+03 3.777530e+03 3.642456e-01 1.015232e+02 -4.699579e-01 7.107558e-03 -1.329761e-04 7.993792e-03
