  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   8    0 -1.007e-01 -5.833e-02 2.4261e-03  3.511e-01  3.732e-01 2.3630e-03 -3.277e-02  5.393e-03 2.3855e-03 -5.061e-03 -1.018e-02 2.3410e-03  5.768e-02  5.048e-02 2.3278e-03 1.4661e-02 1.1652e-02 8.6024e-01 2.8540e-01 4.6236e-01 6.1332e+00 2.8279e+00 3.6720e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 2.845014e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.820937e+01 -1.000000e+00 2.000000e+00 1.181371e-01 1.865469e-03 0.000000e+00 -5.590683e-01
15.000 45.000 0.000000e+00 4.956544e+01 -1.000000e+00 2.000000e+00 0.000000e+00 4.909708e+01 -1.000000e+00 2.000000e+00 3.353784e-01 2.951027e-03 0.000000e+00 -6.676885e-01
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.627554e-01 4.388420e-03         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.661374e-01 4.957752e-03         -nan         -nan
15.000 135.000 8.637226e+00 0.000000e+00 1.000000e+00 2.000000e+00 8.964199e+00 0.000000e+00 1.000000e+00 2.000000e+00 3.446183e-01 4.398944e-03 0.000000e+00 3.276901e-01
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.307590e-01 2.966656e-03         -nan         -nan
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.181371e-01 1.865469e-03         -nan         -nan
15.000 225.000 2.757120e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.739918e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.353784e-01 2.951027e-03 0.000000e+00 6.676885e-01
15.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.627553e-01 4.388419e-03         -nan         -nan
15.000 285.000 4.581870e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.477647e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.661374e-01 4.957752e-03 0.000000e+00 7.330664e-01
15.000 315.000 1.119051e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.092101e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.446183e-01 4.398945e-03 0.000000e+00 6.723075e-01
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.307590e-01 2.966656e-03         -nan         -nan
45.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.075363e-01 3.915245e-03         -nan         -nan
45.000 45.000 9.677628e+00 7.969912e+01 -7.834419e-01 5.875285e+00 9.094264e+00 8.182601e+01 -7.999508e-01 5.721753e+00 3.080057e-01 4.066463e-03 2.013015e-03 -1.857693e-01
45.000 75.000 1.472215e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.501356e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.259452e-01 3.903411e-03 0.000000e+00 2.870269e-01
45.000 105.000 1.353897e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.374516e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.297530e-01 3.567931e-03 0.000000e+00 2.851231e-01
45.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.184088e-01 3.394577e-03         -nan         -nan
45.000 165.000 4.608549e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.767988e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.217473e-01 3.580874e-03 0.000000e+00 4.391256e-01
45.000 195.000 8.013273e+01 0.000000e+00 1.000000e+00 2.000000e+00 8.274380e+01 0.000000e+00 1.000000e+00 2.000000e+00 -1.075363e-01 3.915245e-03 0.000000e+00 5.537671e-01
45.000 225.000 1.884591e+01 3.363988e+01 -2.818662e-01 6.950961e+00 1.936319e+01 3.213393e+01 -2.479894e-01 6.951986e+00 -3.080057e-01 4.066463e-03 -3.445965e-03 3.760552e-03
45.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.259451e-01 3.903411e-03         -nan         -nan
45.000 285.000 0.000000e+00 6.842949e+01 -1.000000e+00 2.000000e+00 0.000000e+00 6.946638e+01 -1.000000e+00 2.000000e+00 -4.297530e-01 3.567931e-03 0.000000e+00 -2.851231e-01
