  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   9    0 -1.044e-01 -5.814e-02 2.4254e-03  3.133e-01  3.730e-01 2.3623e-03 -4.513e-02  5.402e-03 2.3847e-03 -6.815e-03 -1.011e-02 2.3403e-03  5.459e-02  5.056e-02 2.3270e-03 -1.1357e-01 2.8277e-02 9.8948e-01 4.2861e-01 4.2173e-01 5.4606e+00 2.9190e+00 2.3993e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.181626e-01 1.864872e-03         -nan         -nan
15.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.352089e-01 2.950087e-03         -nan         -nan
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.624363e-01 4.387043e-03         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.657542e-01 4.956209e-03         -nan         -nan
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.442736e-01 4.397584e-03         -nan         -nan
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.305453e-01 2.965740e-03         -nan         -nan
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.181626e-01 1.864872e-03         -nan         -nan
15.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.352089e-01 2.950087e-03         -nan         -nan
15.000 255.000 0.000000e+00 2.327339e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.389125e+01 -1.000000e+00 2.000000e+00 -4.624362e-01 4.387042e-03 0.000000e+00 -2.687812e-01
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.657542e-01 4.956209e-03         -nan         -nan
15.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.442736e-01 4.397584e-03         -nan         -nan
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.305453e-01 2.965740e-03         -nan         -nan
45.000 15.000 2.015445e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.921975e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.077182e-01 3.913983e-03 0.000000e+00 4.461401e-01
45.000 45.000 1.259716e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.174379e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.080206e-01 4.065164e-03 0.000000e+00 3.459890e-01
45.000 75.000 0.000000e+00 1.348823e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.396346e+01 -1.000000e+00 2.000000e+00 4.257892e-01 3.902201e-03 0.000000e+00 -7.128932e-01
45.000 105.000 0.000000e+00 4.376054e+01 -1.000000e+00 2.000000e+00 0.000000e+00 4.413476e+01 -1.000000e+00 2.000000e+00 4.294679e-01 3.566860e-03 0.000000e+00 -7.147328e-01
45.000 135.000 1.973207e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.013144e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.180711e-01 3.393552e-03 0.000000e+00 3.409640e-01
45.000 165.000 2.701001e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.822911e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.214473e-01 3.579746e-03 0.000000e+00 4.392756e-01
45.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.077181e-01 3.913983e-03         -nan         -nan
45.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.080206e-01 4.065164e-03         -nan         -nan
45.000 255.000 2.265582e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.297530e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.257892e-01 3.902201e-03 0.000000e+00 7.128932e-01
45.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.294679e-01 3.566860e-03         -nan         -nan
45.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.180711e-01 3.393552e-03         -nan         -nan
45.000 345.000 1.591087e+01 3.921675e+01 -4.227623e-01 6.728653e+00 1.557041e+01 4.044303e+01 -4.440475e-01 6.705879e+00 -1.214473e-01 3.579746e-03 2.240620e-03 -4.478087e-02
75.000 15.000 1.706166e+01 3.339831e+01 -3.237545e-01 6.720931e+00 1.645261e+01 3.518943e+01 -3.628210e-01 6.696561e+00 1.056236e-01 3.796488e-03 4.117623e-03 -6.388670e-02
75.000 45.000 1.089340e+01 2.110577e+01 -3.191450e-01 5.360965e+00 1.023858e+01 2.257142e+01 -3.758866e-01 5.307942e+00 2.836850e-01 3.691601e-03 7.521266e-03 -1.124480e-01
75.000 75.000 0.000000e+00 4.771000e+01 -1.000000e+00 2.000000e+00 0.000000e+00 5.097319e+01 -1.000000e+00 2.000000e+00 3.857333e-01 3.638059e-03 0.000000e+00 -6.928655e-01
75.000 105.000 0.000000e+00 2.459741e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.504453e+01 -1.000000e+00 2.000000e+00 3.844246e-01 3.691671e-03 0.000000e+00 -6.922111e-01
75.000 135.000 6.663783e+00 2.020784e+01 -5.040282e-01 4.477168e+00 6.716504e+00 2.025072e+01 -5.018766e-01 4.491628e+00 2.801097e-01 3.796555e-03 -3.392717e-04 -1.751414e-01
75.000 165.000 1.077482e+01 1.197411e+01 -5.271874e-02 4.762951e+00 1.082029e+01 1.181834e+01 -4.408613e-02 4.753381e+00 1.007396e-01 3.847893e-03 -1.282882e-03 -3.221917e-02
75.000 195.000 1.781897e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.852211e+01 0.000000e+00 1.000000e+00 2.000000e+00 -1.056236e-01 3.796488e-03 0.000000e+00 5.528108e-01
75.000 225.000 0.000000e+00 2.589266e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.374750e+01 -1.000000e+00 2.000000e+00 -2.836850e-01 3.691601e-03 0.000000e+00 -3.581569e-01
75.000 255.000 0.000000e+00 3.319415e+01 -1.000000e+00 2.000000e+00 0.000000e+00 3.084037e+01 -1.000000e+00 2.000000e+00 -3.857333e-01 3.638059e-03 0.000000e+00 -3.071329e-01
75.000 285.000 1.538211e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.632396e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.844246e-01 3.691671e-03 0.000000e+00 6.922111e-01
75.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -2.801097e-01 3.796555e-03         -nan         -nan
75.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.007396e-01 3.847893e-03         -nan         -nan
105.000 15.000 1.723796e+00 2.237746e+01 -8.569539e-01 2.530221e+00 1.707982e+00 2.305754e+01 -8.620678e-01 2.522054e+00 8.954312e-02 3.847893e-03 1.431456e-03 -3.740764e-01
105.000 45.000 5.593639e+00 4.162424e+00 1.467000e-01 3.089677e+00 5.479711e+00 4.223418e+00 1.294730e-01 3.088765e+00 2.501883e-01 3.796556e-03 3.943185e-03 -3.349481e-02
105.000 75.000 2.645759e+00 1.701276e+01 -7.308283e-01 3.026336e+00 2.585313e+00 1.753754e+01 -7.430471e-01 3.002107e+00 3.437956e-01 3.691671e-03 2.866389e-03 -3.550905e-01
105.000 105.000 1.011368e+00 4.328736e+00 -6.212178e-01 1.810883e+00 9.840253e-01 4.409592e+00 -6.351149e-01 1.793875e+00 3.452833e-01 3.638059e-03 5.452022e-03 -5.337172e-01
105.000 135.000 6.390412e+00 0.000000e+00 1.000000e+00 2.000000e+00 6.258595e+00 0.000000e+00 1.000000e+00 2.000000e+00 2.542525e-01 3.691601e-03 0.000000e+00 3.728731e-01
105.000 165.000 2.270974e+01 1.792759e+00 8.536673e-01 2.578053e+00 2.271649e+01 1.822314e+00 8.514749e-01 2.597679e+00 9.509503e-02 3.796488e-03 5.990305e-04 2.942420e-01
105.000 195.000 2.603973e+00 1.051689e+01 -6.030789e-01 2.889420e+00 2.610465e+00 1.027904e+01 -5.949473e-01 2.885673e+00 -8.954311e-02 3.847893e-03 -1.991284e-03 -1.777295e-01
105.000 225.000 8.838704e+00 4.296210e+00 3.458335e-01 3.400583e+00 8.990261e+00 4.230820e+00 3.599888e-01 3.392305e+00 -2.501882e-01 3.796556e-03 -2.946990e-03 1.752703e-01
105.000 255.000 3.365408e+01 1.027516e+01 5.321949e-01 5.611337e+00 3.576656e+01 9.544181e+00 5.787233e-01 5.489557e+00 -3.437956e-01 3.691671e-03 -5.927191e-03 1.561108e-01
105.000 285.000 1.834683e+00 4.719932e+01 -9.251669e-01 2.657846e+00 1.874156e+00 4.343996e+01 -9.172816e-01 2.680778e+00 -3.452833e-01 3.638059e-03 -2.088817e-03 -2.181779e-01
105.000 315.000 3.231629e+01 2.548481e+00 8.538077e-01 3.073888e+00 3.302368e+01 2.482273e+00 8.601771e-01 3.038904e+00 -2.542525e-01 3.691601e-03 -1.473560e-03 3.604749e-01
105.000 345.000 0.000000e+00 2.165328e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.158580e+01 -1.000000e+00 2.000000e+00 -9.509505e-02 3.796488e-03 0.000000e+00 -4.524517e-01
135.000 15.000 1.172923e+01 2.628203e+01 -3.828550e-01 5.695582e+00 1.166027e+01 2.626844e+01 -3.851481e-01 5.683520e+00 6.119586e-02 3.579746e-03 2.849909e-04 -7.796408e-02
