  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.550e-02 -3.681e-02 3.5712e-03  3.956e-01  3.867e-01 3.4723e-03 -1.991e-03  2.087e-02 3.5025e-03  6.809e-04 -1.589e-02 3.4278e-03  1.061e-02  2.272e-02 3.4197e-03 -7.3348e-03 1.0757e-03 3.1410e-01 1.1210e-02 4.3198e-01 5.2910e+00 2.8039e+00 7.7403e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 5.716895e+03 6.343688e+03 -5.197037e-02 1.096723e+02 5.720138e+03 6.343539e+03 -5.167594e-02 1.096880e+02 1.089019e-01 2.736871e-03 -1.898179e-06 -1.466845e-03
15.000 45.000 4.579061e+03 7.055613e+03 -2.128596e-01 1.053922e+02 4.585638e+03 7.058848e+03 -2.123932e-01 1.054476e+02 3.061177e-01 4.336972e-03 -3.128222e-06 -4.924248e-03
15.000 75.000 5.310610e+03 7.763426e+03 -1.876097e-01 1.123115e+02 5.298951e+03 7.775115e+03 -1.893951e-01 1.122724e+02 4.213096e-01 6.448245e-03 1.124245e-05 -5.421703e-03
15.000 105.000 5.612940e+03 7.692507e+03 -1.562944e-01 1.139317e+02 5.615611e+03 7.719874e+03 -1.577942e-01 1.140326e+02 4.236119e-01 7.282276e-03 9.304480e-06 -5.089949e-03
15.000 135.000 4.858186e+03 7.674228e+03 -2.247007e-01 1.090855e+02 4.868824e+03 7.675281e+03 -2.237271e-01 1.091615e+02 3.124077e-01 6.458535e-03 -6.308719e-06 -4.923738e-03
15.000 165.000 5.101301e+03 7.091806e+03 -1.632484e-01 1.089411e+02 5.093342e+03 7.099343e+03 -1.645250e-01 1.089158e+02 1.174942e-01 4.352257e-03 8.286675e-06 -2.577013e-03
15.000 195.000 6.925903e+03 6.334045e+03 4.463501e-02 1.150371e+02 6.925275e+03 6.333248e+03 4.465253e-02 1.150308e+02 -1.089019e-01 2.736871e-03 -1.076853e-07 1.334673e-03
15.000 225.000 7.440177e+03 4.386731e+03 2.581779e-01 1.050646e+02 7.440389e+03 4.385675e+03 2.583035e-01 1.050572e+02 -3.061177e-01 4.336972e-03 -8.454465e-07 5.370938e-03
15.000 255.000 7.288567e+03 6.070443e+03 9.118375e-02 1.150997e+02 7.285428e+03 6.061666e+03 9.168752e-02 1.150430e+02 -4.213096e-01 6.448245e-03 -3.095650e-06 4.452604e-03
15.000 285.000 6.640433e+03 5.362692e+03 1.064507e-01 1.089363e+02 6.639401e+03 5.348334e+03 1.076989e-01 1.088517e+02 -4.236119e-01 7.282276e-03 -8.105586e-06 4.865805e-03
15.000 315.000 7.045192e+03 5.211876e+03 1.495722e-01 1.094662e+02 7.056416e+03 5.207823e+03 1.507303e-01 1.094788e+02 -3.124077e-01 6.458535e-03 -7.480458e-06 4.220297e-03
15.000 345.000 7.198116e+03 6.306016e+03 6.606126e-02 1.159534e+02 7.208766e+03 6.296269e+03 6.756718e-02 1.159456e+02 -1.174942e-01 4.352257e-03 -9.183710e-06 1.583010e-03
45.000 15.000 7.568678e+03 8.423336e+03 -5.344277e-02 1.262788e+02 7.537111e+03 8.446203e+03 -5.687756e-02 1.262205e+02 1.077541e-01 5.746728e-03 1.923779e-05 -1.276516e-03
45.000 45.000 6.675648e+03 8.888434e+03 -1.421726e-01 1.234888e+02 6.662647e+03 8.886674e+03 -1.430305e-01 1.234148e+02 2.950255e-01 5.967105e-03 4.913709e-06 -3.540387e-03
45.000 75.000 6.501232e+03 9.361329e+03 -1.803049e-01 1.238825e+02 6.514947e+03 9.340204e+03 -1.781918e-01 1.239020e+02 4.032450e-01 5.730835e-03 -1.206033e-05 -4.710512e-03
45.000 105.000 6.209147e+03 8.641134e+03 -1.637671e-01 1.202165e+02 6.244257e+03 8.603177e+03 -1.588773e-01 1.203023e+02 4.034154e-01 5.243770e-03 -2.875119e-05 -4.718009e-03
45.000 135.000 6.051953e+03 8.614970e+03 -1.747481e-01 1.192436e+02 6.089123e+03 8.567966e+03 -1.691225e-01 1.193225e+02 2.954909e-01 4.991559e-03 -3.334858e-05 -3.943515e-03
45.000 165.000 7.385330e+03 7.821239e+03 -2.866584e-02 1.232642e+02 7.429029e+03 7.775701e+03 -2.280027e-02 1.232754e+02 1.083899e-01 5.261135e-03 -3.364639e-05 -1.111885e-03
45.000 195.000 8.091137e+03 6.774343e+03 8.858063e-02 1.214448e+02 8.115558e+03 6.757807e+03 9.128741e-02 1.214472e+02 -1.077541e-01 5.746728e-03 -1.575995e-05 1.616659e-03
45.000 225.000 7.915723e+03 6.912881e+03 6.762887e-02 1.214940e+02 7.909181e+03 6.908669e+03 6.752070e-02 1.214508e+02 -2.950255e-01 5.967105e-03 6.296782e-07 2.984958e-03
45.000 255.000 8.805791e+03 5.779347e+03 2.075019e-01 1.181404e+02 8.785052e+03 5.810665e+03 2.037849e-01 1.182776e+02 -4.032450e-01 5.730835e-03 2.223474e-05 5.169672e-03
45.000 285.000 8.919155e+03 6.085191e+03 1.888762e-01 1.202875e+02 8.880931e+03 6.114094e+03 1.845170e-01 1.203516e+02 -4.034154e-01 5.243770e-03 2.561864e-05 4.923967e-03
45.000 315.000 8.266748e+03 5.969702e+03 1.613497e-01 1.177532e+02 8.219662e+03 6.019834e+03 1.544878e-01 1.178968e+02 -2.954909e-01 4.991559e-03 4.118030e-05 3.879644e-03
45.000 345.000 7.900238e+03 7.767401e+03 8.478422e-03 1.251659e+02 7.859362e+03 7.812521e+03 2.988841e-03 1.251868e+02 -1.083899e-01 5.261135e-03 3.101000e-05 9.337070e-04
75.000 15.000 7.114254e+03 7.879295e+03 -5.102470e-02 1.222886e+02 7.029136e+03 7.959644e+03 -6.208027e-02 1.221925e+02 1.136292e-01 5.580171e-03 6.395148e-05 -1.346437e-03
75.000 45.000 7.269684e+03 9.046910e+03 -1.089214e-01 1.269764e+02 7.163244e+03 9.126062e+03 -1.204973e-01 1.266996e+02 2.948682e-01 5.425247e-03 6.453431e-05 -3.180035e-03
75.000 75.000 6.063740e+03 9.215250e+03 -2.062643e-01 1.209502e+02 6.023641e+03 9.268967e+03 -2.122153e-01 1.208466e+02 3.970974e-01 5.343781e-03 3.480651e-05 -4.988514e-03
75.000 105.000 5.610972e+03 1.035620e+04 -2.971865e-01 1.206522e+02 5.606503e+03 1.036193e+04 -2.978017e-01 1.206327e+02 3.929247e-01 5.420673e-03 3.606224e-06 -5.719839e-03
75.000 135.000 6.975616e+03 8.160546e+03 -7.828470e-02 1.226515e+02 7.029510e+03 8.123393e+03 -7.218972e-02 1.227760e+02 2.834682e-01 5.575724e-03 -3.512080e-05 -2.949436e-03
75.000 165.000 7.484242e+03 7.844342e+03 -2.349206e-02 1.237745e+02 7.569493e+03 7.766360e+03 -1.283701e-02 1.238278e+02 9.805655e-02 5.653849e-03 -6.085774e-05 -9.820166e-04
75.000 195.000 8.525900e+03 6.665122e+03 1.224920e-01 1.223237e+02 8.622000e+03 6.592892e+03 1.333633e-01 1.222468e+02 -1.136292e-01 5.580171e-03 -6.286267e-05 1.930298e-03
75.000 225.000 1.027388e+04 6.739604e+03 2.077340e-01 1.275903e+02 1.036285e+04 6.671795e+03 2.166791e-01 1.274161e+02 -2.948681e-01 5.425247e-03 -4.960796e-05 3.939186e-03
75.000 255.000 1.061075e+04 6.215218e+03 2.612352e-01 1.252106e+02 1.065957e+04 6.157990e+03 2.676716e-01 1.249505e+02 -3.970974e-01 5.343781e-03 -3.638612e-05 5.257801e-03
75.000 285.000 1.007720e+04 6.641375e+03 2.055092e-01 1.265404e+02 1.007886e+04 6.642586e+03 2.055009e-01 1.265515e+02 -3.929247e-01 5.420673e-03 4.616260e-08 4.729192e-03
75.000 315.000 9.785291e+03 7.175022e+03 1.539045e-01 1.286801e+02 9.737835e+03 7.223635e+03 1.482301e-01 1.287975e+02 -2.834682e-01 5.575724e-03 3.116745e-05 3.398914e-03
75.000 345.000 7.706001e+03 7.693990e+03 7.799164e-04 1.240967e+02 7.631583e+03 7.765853e+03 -8.720281e-03 1.240817e+02 -9.805657e-02 5.653849e-03 5.413570e-05 7.964476e-04
105.000 15.000 6.815272e+03 7.626891e+03 -5.619790e-02 1.199856e+02 6.793601e+03 7.668641e+03 -6.050516e-02 1.200387e+02 9.131101e-02 5.653850e-03 2.537821e-05 -1.229388e-03
105.000 45.000 7.077329e+03 7.160080e+03 -5.812223e-03 1.193186e+02 7.007721e+03 7.196692e+03 -1.330368e-02 1.191717e+02 2.742113e-01 5.575724e-03 4.442324e-05 -2.346856e-03
105.000 75.000 6.182408e+03 8.325203e+03 -1.477014e-01 1.191265e+02 6.110366e+03 8.407043e+03 -1.582016e-01 1.189709e+02 3.836370e-01 5.420672e-03 6.236721e-05 -4.460288e-03
105.000 105.000 5.441209e+03 7.332874e+03 -1.480862e-01 1.117764e+02 5.390575e+03 7.366526e+03 -1.548903e-01 1.115843e+02 3.902674e-01 5.343780e-03 4.308067e-05 -4.816346e-03
105.000 135.000 6.296006e+03 8.917501e+03 -1.723137e-01 1.214981e+02 6.255804e+03 8.973747e+03 -1.784651e-01 1.214269e+02 2.923260e-01 5.425247e-03 3.581105e-05 -3.824255e-03
105.000 165.000 6.310708e+03 6.728816e+03 -3.206460e-02 1.141320e+02 6.294004e+03 6.736872e+03 -3.398602e-02 1.140869e+02 1.160561e-01 5.580171e-03 1.190650e-05 -1.297801e-03
105.000 195.000 6.381030e+03 6.252852e+03 1.014557e-02 1.123948e+02 6.395621e+03 6.236365e+03 1.260737e-02 1.123832e+02 -9.131099e-02 5.653850e-03 -1.548862e-05 9.026806e-04
105.000 225.000 8.243141e+03 6.546831e+03 1.146932e-01 1.208115e+02 8.294241e+03 6.482655e+03 1.225958e-01 1.206433e+02 -2.742113e-01 5.575724e-03 -4.628590e-05 3.219102e-03
