  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   5    0 -1.009e-01 -5.557e-02 2.4066e-03  3.730e-01  3.772e-01 2.3427e-03 -2.346e-02  1.937e-02 2.3604e-03 -3.031e-03 -1.225e-02 2.3357e-03  4.594e-02  3.490e-02 2.3332e-03 1.2770e-02 2.9422e-03 5.3154e-01 1.2015e-01 4.4706e-01 5.6815e+00 2.8050e+00 6.1176e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.139649e-01 1.861637e-03         -nan         -nan
15.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.197166e-01 2.940772e-03         -nan         -nan
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.398006e-01 4.365528e-03         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.420403e-01 4.927990e-03         -nan         -nan
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.258357e-01 4.370656e-03         -nan         -nan
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.223237e-01 2.948379e-03         -nan         -nan
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.139648e-01 1.861637e-03         -nan         -nan
15.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.197166e-01 2.940771e-03         -nan         -nan
15.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.398006e-01 4.365528e-03         -nan         -nan
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.420403e-01 4.927990e-03         -nan         -nan
15.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.258358e-01 4.370656e-03         -nan         -nan
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.223237e-01 2.948379e-03         -nan         -nan
45.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.081670e-01 3.897221e-03         -nan         -nan
45.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.030673e-01 4.053293e-03         -nan         -nan
45.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.167610e-01 3.887961e-03         -nan         -nan
45.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.187839e-01 3.544353e-03         -nan         -nan
45.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.085940e-01 3.364757e-03         -nan         -nan
45.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.157166e-01 3.554509e-03         -nan         -nan
45.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.081670e-01 3.897221e-03         -nan         -nan
45.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.030673e-01 4.053293e-03         -nan         -nan
45.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.167610e-01 3.887961e-03         -nan         -nan
45.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.187839e-01 3.544354e-03         -nan         -nan
45.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.085940e-01 3.364757e-03         -nan         -nan
45.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.157166e-01 3.554509e-03         -nan         -nan
75.000 15.000 2.067892e+02 2.283058e+02 -4.945277e-02 2.083341e+01 2.050063e+02 2.301676e+02 -5.781910e-02 2.082592e+01 1.042232e-01 3.782179e-03 2.840125e-04 -7.376419e-03
75.000 45.000 1.775255e+02 2.056531e+02 -7.340612e-02 1.952214e+01 1.767481e+02 2.063846e+02 -7.735308e-02 1.951513e+01 2.878699e-01 3.670584e-03 1.429874e-04 -1.850597e-02
75.000 75.000 1.385765e+02 3.048900e+02 -3.750307e-01 1.952162e+01 1.387844e+02 3.044607e+02 -3.737804e-01 1.952738e+01 3.943822e-01 3.611606e-03 -4.528161e-05 -3.941336e-02
75.000 105.000 1.430894e+02 2.569714e+02 -2.846617e-01 1.917402e+01 1.442335e+02 2.554418e+02 -2.782465e-01 1.920240e+01 3.952201e-01 3.666865e-03 -2.364040e-04 -3.545849e-02
75.000 135.000 1.330011e+02 2.437661e+02 -2.939878e-01 1.855273e+01 1.345780e+02 2.420163e+02 -2.852893e-01 1.859955e+01 2.901590e-01 3.778569e-03 -3.311098e-04 -3.148577e-02
75.000 165.000 1.893755e+02 2.287710e+02 -9.421451e-02 2.035767e+01 1.911893e+02 2.266324e+02 -8.482828e-02 2.036701e+01 1.073501e-01 3.834980e-03 -3.259481e-04 -9.901163e-03
75.000 195.000 1.515562e+02 2.084100e+02 -1.579423e-01 1.873464e+01 1.525270e+02 2.069567e+02 -1.514108e-01 1.874146e+01 -1.042231e-01 3.782179e-03 -2.464740e-04 -2.867372e-03
75.000 225.000 3.365753e+02 1.624371e+02 3.489657e-01 2.093428e+01 3.375161e+02 1.618218e+02 3.518544e-01 2.091696e+01 -2.878699e-01 3.670584e-03 -9.761445e-05 3.042070e-02
75.000 255.000 2.535596e+02 2.135733e+02 8.559934e-02 2.153393e+01 2.536667e+02 2.135971e+02 8.575352e-02 2.153666e+01 -3.943822e-01 3.611606e-03 -5.062507e-06 2.228955e-02
75.000 285.000 1.886536e+02 1.330643e+02 1.727889e-01 1.766671e+01 1.878052e+02 1.338254e+02 1.678315e-01 1.767968e+01 -3.952201e-01 3.666865e-03 1.983471e-04 3.215137e-02
75.000 315.000 2.678492e+02 1.759622e+02 2.070406e-01 2.061036e+01 2.658978e+02 1.779593e+02 1.981233e-01 2.065029e+01 -2.901591e-01 3.778569e-03 3.056415e-04 2.412377e-02
75.000 345.000 1.397796e+02 1.751343e+02 -1.122676e-01 1.763363e+01 1.385252e+02 1.769520e+02 -1.218051e-01 1.762943e+01 -1.073502e-01 3.834980e-03 3.824986e-04 -2.788696e-04
105.000 15.000 1.208001e+03 1.233832e+03 -1.057826e-02 4.941214e+01 1.201929e+03 1.239444e+03 -1.536629e-02 4.940442e+01 7.787632e-02 3.834980e-03 6.852391e-05 -1.790139e-03
105.000 45.000 1.134545e+03 1.419119e+03 -1.114377e-01 5.021903e+01 1.120523e+03 1.431669e+03 -1.219130e-01 5.014239e+01 2.533090e-01 3.778569e-03 1.476107e-04 -7.263116e-03
105.000 75.000 1.029651e+03 1.366883e+03 -1.407163e-01 4.846731e+01 1.011961e+03 1.383770e+03 -1.551966e-01 4.835315e+01 3.608677e-01 3.666865e-03 2.115061e-04 -1.034892e-02
