  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -9.793e-02 -5.572e-02 2.3823e-03  3.665e-01  3.767e-01 2.3201e-03 -2.779e-02  1.935e-02 2.3378e-03 -4.409e-03 -1.207e-02 2.3065e-03  5.627e-02  3.604e-02 2.3040e-03 -1.5078e-02 8.6489e-03 7.6388e-01 2.2066e-01 4.7008e-01 6.2241e+00 2.8020e+00 4.4804e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.144903e-01 1.839505e-03         -nan         -nan
15.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.204305e-01 2.908211e-03         -nan         -nan
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.405117e-01 4.318547e-03         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.425581e-01 4.875254e-03         -nan         -nan
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.260214e-01 4.323679e-03         -nan         -nan
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.221276e-01 2.915825e-03         -nan         -nan
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.144903e-01 1.839505e-03         -nan         -nan
15.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.204305e-01 2.908210e-03         -nan         -nan
15.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.405117e-01 4.318547e-03         -nan         -nan
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.425581e-01 4.875254e-03         -nan         -nan
